HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Aldershot,Wrexham,H,1,0,0,0,0,0,0,0,0,3,0,0,3.1,3.5,2.2,2.2,1.65
Boreham Wood,Stockport,H,4,0,0,0,0,0,0,0,0,1,0,0,2.37,3.5,2.8,2.05,1.75
Bromley,Notts County,H,2,1,0,0,0,0,0,0,1,0,0,0,2.15,3.5,3.2,2.0,1.8
Chorley,Woking,D,1,1,0,0,0,0,0,0,2,3,0,1,3.1,3.5,2.05,1.8,2.0
Ebbsfleet,Barrow,A,0,3,0,0,0,0,0,0,2,2,0,0,2.5,3.6,2.6,1.72,2.07
Halifax,Barnet,H,4,2,0,0,0,0,0,0,0,4,0,0,2.37,3.5,2.8,2.05,1.75
Hartlepool,Dover Athletic,A,0,2,0,0,0,0,0,0,3,1,2,0,2.25,3.5,3.0,1.95,1.85
Maidenhead,Harrogate,D,1,1,0,0,0,0,0,0,1,2,0,0,2.5,3.5,2.62,1.95,1.85
Solihull,Yeovil,A,0,1,0,0,0,0,0,0,1,5,0,0,1.95,3.6,3.5,1.85,1.95
Sutton,Chesterfield,H,4,0,0,0,0,0,0,0,1,3,0,0,2.5,3.2,2.8,2.0,1.8
Torquay,Dag and Red,D,0,0,0,0,0,0,0,0,0,3,0,0,2.05,3.6,3.3,1.5,2.5
Fylde,Eastleigh,H,3,1,0,0,0,0,0,0,1,1,0,0,2.05,3.4,3.5,2.05,1.75
Aldershot,Yeovil,A,1,3,0,0,0,0,0,0,1,3,0,0,2.7,3.3,2.55,2.15,1.66
Boreham Wood,Notts County,A,1,2,0,0,0,0,0,0,1,3,0,0,2.25,3.4,3.1,1.95,1.85
Bromley,Woking,H,1,0,0,0,0,0,0,0,1,0,0,0,2.1,3.6,3.2,1.8,2.0
Chorley,Barrow,A,1,3,0,0,0,0,0,0,3,2,0,0,2.75,3.6,2.37,1.95,1.85
Ebbsfleet,Barnet,H,3,0,0,0,0,0,0,0,1,0,0,0,2.75,3.5,2.4,1.85,1.95
Fylde,Wrexham,H,3,2,0,0,0,0,0,0,1,1,0,0,2.05,3.4,3.5,2.0,1.8
Halifax,Harrogate,A,0,1,0,0,0,0,0,0,1,1,0,0,2.3,3.5,3.0,1.85,1.95
Hartlepool,Chesterfield,D,1,1,0,0,0,0,0,0,2,0,0,0,2.3,3.5,2.9,1.8,2.0
Maidenhead,Dover Athletic,A,1,2,0,0,0,0,0,0,2,2,0,0,2.87,3.4,2.4,1.95,1.85
Solihull,Stockport,H,2,0,0,0,0,0,0,0,0,1,0,1,1.7,3.75,4.75,1.75,2.05
Sutton,Dag and Red,A,0,2,0,0,0,0,0,0,0,0,0,0,2.62,3.4,2.62,2.0,1.8
Torquay,Eastleigh,A,2,3,0,0,0,0,0,0,1,1,0,0,2.0,3.6,3.5,1.8,2.0
Barnet,Solihull,D,0,0,0,0,0,0,0,0,1,0,0,0,2.6,3.4,2.6,2.0,1.8
Barrow,Maidenhead,H,2,0,0,0,0,0,0,0,0,4,0,0,2.3,3.4,2.9,1.9,1.9
Chesterfield,Aldershot,H,2,1,0,0,0,0,0,0,2,0,0,0,1.75,3.6,4.6,2.0,1.8
Dag and Red,Chorley,D,0,0,0,0,0,0,0,0,0,2,1,0,1.65,3.5,5.75,1.8,2.0
Eastleigh,Hartlepool,D,1,1,0,0,0,0,0,0,2,1,0,0,2.3,3.5,3.0,1.9,1.9
Harrogate,Sutton,H,2,0,0,0,0,0,0,0,1,0,0,0,2.1,3.4,3.4,1.95,1.85
Notts County,Fylde,H,2,0,0,0,0,0,0,0,0,2,0,0,2.05,3.4,3.5,1.95,1.85
Stockport,Torquay,A,0,4,0,0,0,0,0,0,1,1,0,0,2.55,3.4,2.62,1.9,1.9
Woking,Boreham Wood,A,1,2,0,0,0,0,0,0,1,2,0,1,2.05,3.6,3.4,1.95,1.85
Wrexham,Ebbsfleet,H,1,0,0,0,0,0,0,0,2,1,0,0,1.75,3.5,4.75,1.85,1.95
Yeovil,Bromley,H,3,1,0,0,0,0,0,0,5,3,0,0,2.6,3.3,2.7,1.9,1.9
Dover Athletic,Halifax,A,0,2,0,0,0,0,0,0,3,1,0,0,1.95,3.5,3.75,1.95,1.85
Fylde,Barnet,A,0,4,0,0,0,0,0,0,2,1,0,0,2.0,3.5,3.6,2.0,1.8
Solihull,Wrexham,H,3,1,0,0,0,0,0,0,1,1,0,0,1.9,3.6,3.8,2.0,1.8
Boreham Wood,Solihull,H,1,0,0,0,0,0,0,0,3,1,0,0,2.9,3.3,2.25,2.05,1.75
Bromley,Barrow,A,1,2,0,0,0,0,0,0,1,2,0,0,2.0,3.4,3.3,1.85,1.95
Chesterfield,Eastleigh,A,1,2,0,0,0,0,0,0,1,2,0,0,2.0,3.3,3.4,1.95,1.85
Chorley,Aldershot,D,0,0,0,0,0,0,0,0,0,0,0,0,2.2,3.1,3.2,2.07,1.72
Dag and Red,Barnet,D,1,1,0,0,0,0,0,0,0,1,0,0,2.25,3.25,2.87,2.05,1.75
Dover Athletic,Notts County,D,2,2,0,0,0,0,0,0,1,1,0,0,2.15,3.5,2.87,1.95,1.85
Hartlepool,Yeovil,H,2,1,0,0,0,0,0,0,0,2,0,0,2.55,3.3,2.6,1.85,1.95
