HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Boavista,Guimaraes,A,3.8,3.3,2.0,2.2,1.65,0,1,4,9,5,7,1.2,0.6,1.8,1.0
Tondela,Portimonense,H,3.5,3.2,2.1,2.3,1.6,1,0,3,9,5,6,0.8,1.0,1.4,1.2
Nacional,Pacos Ferreira,D,2.62,3.1,2.75,2.25,1.61,1,1,3,8,8,8,0.6,0.8,1.2,1.2
Santa Clara,Sp Lisbon,A,4.0,3.4,1.9,2.15,1.66,1,2,7,3,5,4,1.6,0.8,2.2,1.4
Porto,Gil Vicente,H,1.22,6.0,12.0,1.61,2.25,1,0,18,5,4,6,2.4,2.0,2.2,0.8
Farense,Rio Ave,A,3.2,3.3,2.2,2.1,1.7,0,1,3,4,4,3,0.5,0.0,1.6,1.2
Moreirense,Maritimo,H,2.6,3.2,2.75,2.2,1.65,2,1,5,4,5,5,1.2,1.4,1.6,1.8
Famalicao,Boavista,D,2.35,3.25,3.0,2.1,1.7,2,2,5,10,8,11,0.6,2.2,0.6,0.6
Guimaraes,Sp Braga,A,2.8,3.3,2.45,2.0,1.8,0,1,5,3,13,9,1.8,1.6,2.0,1.2
Benfica,Belenenses,H,1.11,8.5,19.0,1.44,2.7,2,0,12,4,2,8,3.0,2.0,1.0,1.0
Sp Lisbon,Gil Vicente,H,1.44,4.5,7.5,1.95,1.85,3,1,7,3,3,5,2.2,1.8,2.2,0.8
Pacos Ferreira,Porto,H,6.5,4.2,1.5,1.95,1.85,3,2,5,10,12,5,1.2,0.8,2.4,2.0
Belenenses,Farense,D,2.45,3.0,3.0,2.15,1.66,1,1,3,4,2,5,1.0,1.0,0.3333333333333333,0.0
Rio Ave,Moreirense,H,1.85,3.1,4.75,2.07,1.72,2,0,8,9,3,8,1.6,1.8,1.6,1.4
Maritimo,Nacional,D,2.1,3.2,3.6,2.05,1.75,0,0,8,6,5,11,1.6,1.2,0.6,0.8
Portimonense,Santa Clara,A,2.2,3.1,3.5,2.2,1.65,1,2,5,5,4,6,1.4,0.6,1.6,0.8
Gil Vicente,Guimaraes,A,3.75,2.8,2.25,2.4,1.53,1,2,9,6,4,4,2.2,0.8,1.2,1.6
Sp Lisbon,Tondela,H,1.4,4.5,8.0,1.93,1.93,4,0,8,4,7,8,2.2,1.8,1.4,1.0
Sp Braga,Famalicao,H,1.36,4.75,8.0,1.53,2.4,1,0,9,4,11,8,2.0,1.8,0.8,2.2
Boavista,Benfica,H,10.0,6.0,1.25,1.5,2.5,3,0,1,9,13,4,0.6,0.8,3.0,2.0
Belenenses,Rio Ave,D,3.5,3.2,2.15,2.35,1.57,0,0,3,4,5,2,1.0,1.0,1.6,1.8
Tondela,Santa Clara,H,2.87,3.2,2.5,2.35,1.57,2,0,4,8,6,6,1.4,0.8,1.6,1.4
Famalicao,Maritimo,H,2.15,3.25,3.3,2.05,1.75,2,1,7,11,5,7,0.8,1.6,1.2,1.2
Guimaraes,Sp Lisbon,A,3.8,3.0,2.1,2.25,1.61,0,4,3,4,7,5,1.2,1.6,2.2,1.8
Farense,Boavista,H,2.5,3.1,2.9,2.25,1.61,3,1,3,5,9,10,0.3333333333333333,0.3333333333333333,0.6,0.8
Nacional,Gil Vicente,H,2.55,3.0,2.9,2.6,1.47,2,1,4,9,3,6,0.6,1.0,1.6,0.8
Porto,Portimonense,H,1.2,6.5,13.0,1.7,2.1,3,1,14,5,4,7,2.4,1.4,1.4,0.6
Benfica,Sp Braga,A,1.57,4.2,5.25,1.6,2.3,2,3,11,3,11,5,3.0,2.0,2.0,1.8
Pacos Ferreira,Famalicao,H,2.1,3.2,3.6,2.2,1.65,2,0,8,11,10,9,1.8,0.8,1.2,1.6
Tondela,Guimaraes,A,4.33,3.6,1.8,2.07,1.72,0,2,5,5,5,5,2.0,0.8,1.2,1.6
Santa Clara,Porto,A,6.5,4.25,1.5,1.9,1.9,0,1,8,4,13,8,1.6,1.4,2.4,1.4
Sp Lisbon,Moreirense,H,1.25,5.75,11.0,1.61,2.25,2,1,10,3,2,10,2.2,2.4,1.6,0.8
Gil Vicente,Rio Ave,H,2.9,3.4,2.3,2.25,1.61,2,0,9,8,5,2,1.6,0.2,1.6,1.8
