HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Leganes,Girona,D,2.15,3.2,3.7,2.5,1.52,0,0,2,2,0,2,1.5,1.5,1.3333333333333333,0.0
Real Madrid,Betis,A,1.13,10.0,17.0,1.18,4.72,0,1,3,3,1,5,1.0,3.0,3.0,0.0
Sevilla,Las Palmas,H,1.4,4.75,7.5,1.5,2.55,1,0,4,1,3,2,2.0,3.0,1.5,1.5
Celta,Getafe,D,1.8,3.6,4.5,1.86,1.94,1,1,3,3,2,1,1.5,0.0,0.0,2.0
Levante,Sociedad,H,3.25,3.25,2.3,1.87,1.93,3,0,4,3,7,4,1.6666666666666667,1.0,1.5,3.0
Villarreal,Espanol,D,1.73,3.5,5.5,2.02,1.79,0,0,3,1,1,6,3.0,1.0,1.5,0.5
Alaves,Real Madrid,A,17.0,7.5,1.17,1.34,3.2,1,2,0,5,6,1,0.0,0.0,0.6666666666666666,3.0
Ath Madrid,Sevilla,H,1.57,4.0,6.5,1.81,2.0,2,0,1,0,2,0,3.0,2.0,2.3333333333333335,3.0
Girona,Barcelona,A,12.0,6.0,1.25,1.42,2.78,0,3,3,3,4,1,1.3333333333333333,0.5,3.0,3.0
Malaga,Ath Bilbao,D,2.9,3.3,2.4,2.16,1.69,3,3,1,4,1,1,0.0,0.0,1.3333333333333333,1.5
Eibar,Celta,A,2.2,3.3,3.4,2.01,1.81,0,4,1,1,2,4,1.5,1.0,1.3333333333333333,0.0
Espanol,La Coruna,H,1.95,3.5,4.0,1.98,1.83,4,1,2,2,3,4,1.5,0.6666666666666666,1.0,0.5
Getafe,Villarreal,H,2.88,3.1,2.63,2.2,1.67,4,0,1,3,3,4,0.0,1.6666666666666667,2.0,1.0
Las Palmas,Leganes,A,2.05,3.25,3.8,2.2,1.67,0,2,2,5,1,1,1.5,1.0,1.3333333333333333,1.5
