HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Falkirk,Peterhead,H,3,0,13,6,8,3,2,1,1,4,0,0,1.33,5.5,7.5,1.72,2.07,13,1,6,11,2.6,1.2,1.4,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,0.0,2.6666666666666665,0.0,2.6,0.2,1.4,1.6,1.0,1.2,2.2,1.2,1.0,0.0,0.0,0.0
Montrose,Stranraer,H,4,1,20,11,9,4,4,4,2,3,0,0,1.5,4.33,6.0,1.5,2.5,10,7,7,9,2.4,1.2,0.4,0.8,1.0,0.0,2.6666666666666665,0.0,0.6666666666666666,0.0,2.3333333333333335,0.0,2.0,1.4,1.8,1.8,0.8,2.0,1.8,1.4,3.0,0.0,3.0,0.0
Raith Rvs,Forfar,H,2,1,9,4,5,1,6,2,0,0,0,0,1.45,4.75,6.0,1.6,2.3,8,7,5,12,2.0,1.6,1.0,0.8,1.6666666666666667,0.0,1.3333333333333333,0.0,1.0,0.0,2.0,0.0,1.6,1.4,1.2,1.6,1.2,1.4,2.4,1.0,3.0,0.0,1.0,0.0
Stranraer,Montrose,A,0,1,9,9,1,1,6,1,4,2,0,0,3.5,3.6,1.85,1.7,2.1,4,10,9,9,0.4,0.6,3.0,1.2,0.6666666666666666,0.0,2.6666666666666665,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0,0.8,2.0,2.4,1.4,2.4,1.0,1.8,1.8,3.0,0.0,2.0,0.0
Airdrie Utd,Peterhead,H,2,0,8,6,4,1,4,1,1,3,0,0,1.8,3.5,3.8,1.85,1.95,4,1,5,12,2.0,1.0,1.4,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.3333333333333333,0.0,3.3333333333333335,0.0,0.8,0.2,1.2,1.0,1.0,1.2,2.4,1.0,1.0,0.0,4.0,0.0
Forfar,Dumbarton,D,0,0,10,12,5,4,5,2,1,0,0,0,2.5,3.6,2.4,1.8,2.0,6,7,3,12,1.0,0.2,2.2,0.0,1.0,0.0,1.3333333333333333,0.0,2.3333333333333335,0.0,3.0,0.0,1.2,1.4,2.4,0.4,1.0,0.2,2.4,0.6,0.0,0.0,2.0,0.0
Montrose,Falkirk,A,1,3,10,15,7,8,4,5,1,2,1,0,3.8,3.75,1.8,1.7,2.1,12,5,8,7,3.0,1.2,3.0,1.2,1.3333333333333333,0.0,2.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,2.4,1.0,1.8,1.6,3.0,0.0,1.4,1.6,2.0,0.0,1.0,0.0
East Fife,Montrose,D,2,2,11,9,4,4,3,7,1,2,0,0,2.1,3.5,3.25,1.66,2.15,14,11,8,9,2.0,0.6,2.4,1.2,1.0,0.0,2.3333333333333335,1.0,1.6666666666666667,0.3333333333333333,2.0,0.0,2.8,2.2,1.6,0.6,2.4,1.6,1.8,1.6,2.0,2.0,1.0,1.0
Falkirk,Forfar,D,1,1,13,9,5,3,5,5,1,2,1,0,1.44,4.2,8.0,1.61,2.25,15,0,2,12,3.0,1.6,1.2,0.2,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.0,1.0,0.0,1.3333333333333333,0.0,3.0,0.0,1.4,2.0,0.8,0.8,2.4,0.4,2.0,0.0,1.0,0.0
Partick,Airdrie Utd,H,2,1,15,10,7,2,6,7,2,2,0,0,1.95,3.6,3.6,1.98,1.88,0,0,5,6,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.2,1.0,1.0,0.0,1.0,0.0
