HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Nice,Troyes,A,1,2,20,10,6,4,10,4,2,3,0,0,1.53,4.0,7.0,1.84,1.97,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Rennes,Lyon,A,1,2,17,17,5,8,14,2,1,3,0,0,3.6,3.5,2.0,1.78,2.04,0,0,0,0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Amiens,Angers,A,0,2,10,12,1,6,5,5,3,2,0,0,2.9,3.1,2.63,2.46,1.53,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
Bordeaux,Metz,H,2,0,12,6,5,1,5,1,1,2,0,0,1.44,4.2,8.5,1.7,2.13,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0
Caen,St Etienne,A,0,1,10,6,4,4,8,2,1,1,0,0,3.0,3.1,2.5,2.42,1.54,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Nantes,Marseille,A,0,1,14,13,3,10,6,9,1,3,0,0,3.5,3.4,2.15,2.02,1.79,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Toulouse,Montpellier,H,1,0,8,14,4,1,5,3,4,3,0,0,2.2,3.2,3.5,2.22,1.65,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Dijon,Monaco,A,1,4,15,16,3,6,6,10,0,2,0,0,7.0,4.2,1.5,1.6,2.3,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Guingamp,Paris SG,A,0,3,4,21,0,8,4,6,2,2,0,0,15.0,6.0,1.22,1.54,2.43,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Strasbourg,Lille,H,3,0,22,12,9,2,7,5,1,2,0,1,3.75,3.3,2.1,2.08,1.74,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Metz,Monaco,A,0,1,9,22,5,5,6,6,2,1,0,0,10.0,5.0,1.3,1.45,2.7,1,3,4,1,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0
Lyon,Bordeaux,D,3,3,8,16,5,6,0,8,2,2,1,0,1.57,4.33,5.5,1.57,2.37,4,0,2,2,3.0,3.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0
Montpellier,Strasbourg,D,1,1,16,7,5,1,9,2,2,3,0,0,1.85,3.5,4.5,1.86,1.94,1,0,0,4,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0
Nice,Guingamp,H,2,0,14,13,8,1,4,5,2,2,0,0,2.0,3.3,4.0,2.0,1.81,1,2,3,1,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0
Rennes,Dijon,D,2,2,14,12,7,4,7,0,2,4,0,0,1.6,3.9,6.0,1.94,1.86,1,2,0,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0
St Etienne,Amiens,H,3,0,13,16,5,1,3,11,2,2,0,0,1.53,4.0,7.0,2.13,1.7,1,0,0,2,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0
Troyes,Nantes,A,0,1,8,11,1,4,2,10,1,0,0,1,2.5,3.1,3.1,2.26,1.63,1,1,0,3,1.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0
Lille,Caen,A,0,2,15,11,4,3,5,3,2,2,0,0,1.6,3.8,6.0,1.82,1.98,3,0,0,1,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0
Marseille,Angers,D,1,1,12,11,2,4,11,2,3,2,1,0,1.6,3.9,5.75,1.82,1.98,3,0,2,0,3.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0
Paris SG,Toulouse,H,6,2,24,7,15,1,7,1,0,4,1,0,1.08,11.0,34.0,1.32,3.31,2,0,2,3,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,4.0,0.0
