HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Inverness C,Dundee United,A,2.63,3.2,2.7,1.83,1.92,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Livingston,Dunfermline,D,2.6,3.25,2.7,1.86,1.88,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Queen of Sth,Brechin,H,1.53,4.0,6.0,1.72,2.04,4,1,0,0,0,0,0.0,0.0,0.0,0.0
St Mirren,Falkirk,H,2.4,3.25,2.9,1.79,1.96,3,1,0,0,0,0,0.0,0.0,0.0,0.0
Brechin,Livingston,D,4.33,3.8,1.75,1.76,1.99,2,2,0,0,0,0,0.0,0.0,1.0,0.0
Dundee United,Queen of Sth,H,1.62,3.8,5.5,1.84,1.91,2,1,0,0,0,0,0.0,3.0,3.0,0.0
Dunfermline,Inverness C,H,2.2,3.5,3.1,1.97,1.78,5,1,0,0,0,0,0.0,1.0,0.0,0.0
Falkirk,Dumbarton,D,1.6,3.6,6.25,1.73,2.04,1,1,0,0,0,0,0.0,0.0,1.0,0.0
Morton,St Mirren,H,2.5,3.4,2.7,1.99,1.76,4,1,0,0,0,0,0.0,1.0,3.0,0.0
Dundee United,Brechin,H,1.2,7.0,11.0,1.48,2.51,1,0,2,1,1,4,3.0,3.0,1.0,0.0
Dunfermline,Falkirk,H,2.55,3.6,2.55,1.83,1.9,3,1,5,1,1,3,3.0,1.0,1.0,0.0
Inverness C,Morton,D,2.3,3.4,3.0,1.85,1.88,1,1,0,1,0,0,0.0,0.0,3.0,1.0
Livingston,St Mirren,A,2.15,3.5,3.2,1.74,2.0,1,3,1,1,1,4,1.0,1.0,3.0,0.0
Queen of Sth,Dumbarton,H,1.6,4.0,5.25,1.7,2.07,1,0,4,1,1,1,3.0,0.0,1.0,1.0
Brechin,Inverness C,A,6.0,3.8,1.57,1.68,2.1,0,4,2,2,1,5,1.0,0.0,0.5,0.0
Dumbarton,Dunfermline,A,3.6,3.6,1.95,1.76,1.99,0,4,0,0,1,1,1.0,0.5,3.0,1.0
Falkirk,Queen of Sth,A,2.05,3.5,3.4,1.77,1.98,1,4,1,1,1,2,1.0,0.0,3.0,0.0
Morton,Livingston,A,2.05,3.6,3.3,2.0,1.76,0,1,4,1,2,2,3.0,1.0,0.5,1.0
St Mirren,Dundee United,H,2.9,3.5,2.25,1.81,1.92,3,0,3,1,1,0,3.0,1.5,3.0,3.0
Brechin,Falkirk,D,5.0,4.5,1.55,1.61,2.22,1,1,2,6,2,6,0.5,0.0,0.5,0.0
Dundee United,Dumbarton,D,1.36,4.75,8.0,1.62,2.22,1,1,3,1,1,2,3.0,1.5,0.5,0.5
Livingston,Queen of Sth,D,2.45,3.6,2.63,1.77,1.96,2,2,2,4,5,3,0.5,2.0,3.0,1.5
Morton,Dunfermline,H,2.4,3.5,2.75,2.22,1.62,3,2,4,2,5,1,1.5,1.0,3.0,2.0
St Mirren,Inverness C,H,2.15,3.5,3.2,1.73,2.02,4,2,6,1,5,5,3.0,1.5,0.5,1.5
Dumbarton,Brechin,H,2.0,3.75,3.3,1.74,2.01,2,1,0,4,1,5,0.5,0.6666666666666666,0.6666666666666666,0.0
Dunfermline,St Mirren,H,2.5,3.4,2.7,1.67,2.11,3,0,8,2,4,5,3.0,1.3333333333333333,3.0,1.5
Falkirk,Dundee United,D,2.5,3.6,2.6,1.79,1.95,0,0,2,5,1,3,0.5,0.3333333333333333,2.3333333333333335,1.5
Inverness C,Livingston,A,2.0,3.5,3.6,1.83,1.91,1,3,1,2,3,2,0.5,1.0,0.6666666666666666,2.0
Queen of Sth,Morton,A,2.1,3.5,3.25,1.88,1.86,1,2,5,1,1,1,3.0,1.3333333333333333,2.0,1.0
Brechin,Dunfermline,A,6.0,4.0,1.53,1.66,2.15,0,3,3,7,7,4,0.6666666666666666,0.0,3.0,1.3333333333333333
Dumbarton,Inverness C,H,4.0,3.7,1.83,1.78,1.96,2,1,2,5,7,9,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
Dundee United,Morton,H,1.91,3.6,3.8,1.91,1.82,2,1,4,2,3,2,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667
Falkirk,Livingston,A,2.15,3.5,3.2,1.76,1.98,0,2,2,5,6,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335
St Mirren,Queen of Sth,H,2.0,3.5,3.6,1.74,2.01,3,1,10,3,7,5,3.0,1.0,2.0,1.3333333333333333
Dunfermline,Dundee United,A,2.5,3.4,2.7,1.8,1.96,1,3,11,2,1,3,3.0,1.75,2.5,1.3333333333333333
Inverness C,Queen of Sth,D,2.4,3.4,2.8,1.76,1.99,0,0,2,5,8,8,0.3333333333333333,0.75,2.0,1.0
Livingston,Dumbarton,H,1.5,4.33,6.0,1.72,2.04,2,1,4,6,2,3,0.6666666666666666,2.5,1.75,0.6666666666666666
Morton,Falkirk,A,2.38,3.5,2.8,1.84,1.91,0,1,7,4,3,7,2.0,1.25,0.5,0.3333333333333333
St Mirren,Brechin,H,1.29,5.0,11.0,1.52,2.4,2,1,13,4,2,7,3.0,1.0,0.5,0.0
Brechin,Morton,A,5.5,4.0,1.57,1.74,2.01,0,1,3,10,4,4,0.5,0.0,1.5,1.25
Dumbarton,St Mirren,A,4.75,4.0,1.67,1.69,2.07,0,2,4,6,4,8,1.75,0.5,3.0,1.0
Falkirk,Inverness C,D,2.05,3.6,3.4,1.71,2.07,0,0,2,7,8,11,0.5,1.0,0.5,0.75
Livingston,Dundee United,H,2.6,3.6,2.5,2.04,1.73,2,0,6,7,4,4,1.25,2.5,2.5,1.75
Queen of Sth,Dunfermline,D,2.38,3.6,2.75,1.76,1.97,0,0,6,3,10,4,2.0,1.0,2.25,1.75
Brechin,Queen of Sth,A,7.5,4.09,1.44,1.71,2.05,0,1,3,11,8,8,0.4,0.0,1.75,1.0
Dundee United,Inverness C,A,1.75,3.5,4.75,1.83,1.92,0,2,6,3,8,11,2.5,1.4,0.5,0.8
Dunfermline,Livingston,H,2.04,3.39,3.6,1.74,2.0,3,1,12,5,8,3,2.25,1.6,1.6,2.5
Falkirk,St Mirren,D,2.35,3.29,3.0,1.7,2.05,0,0,2,7,6,8,0.6,1.0,3.0,1.5
Morton,Dumbarton,D,1.53,3.75,7.0,1.82,1.92,1,1,7,5,3,5,1.5,1.6,1.4,0.5
Dumbarton,Dundee United,A,4.59,3.75,1.72,1.73,2.03,0,2,4,8,4,6,1.4,0.6,2.0,1.4
Inverness C,Dunfermline,H,2.5,3.39,2.7,1.78,1.98,1,0,2,5,10,4,0.5,1.4,2.4,1.6
Livingston,Brechin,H,1.28,5.25,10.0,1.59,2.26,3,2,8,7,3,9,1.6,2.0,0.2,0.0
Queen of Sth,Falkirk,H,2.25,3.29,3.2,2.0,1.77,4,2,6,3,4,7,1.75,1.6,0.6,1.0
St Mirren,Morton,D,2.04,3.39,3.6,1.8,1.96,2,2,15,5,5,4,3.0,1.4,1.4,1.6
Brechin,Dumbarton,A,3.2,3.5,2.14,1.72,2.04,0,1,1,10,4,6,0.2,0.0,1.2,0.6
Dundee United,St Mirren,H,2.1,3.5,3.29,1.75,2.0,2,1,6,5,6,8,2.0,1.4,2.6,1.4
Falkirk,Dunfermline,D,2.25,3.25,3.2,1.92,1.84,1,1,1,6,9,4,0.6,0.8,2.4,1.4
Livingston,Inverness C,D,2.62,3.39,2.54,1.79,1.93,0,0,10,8,9,6,2.0,2.0,1.0,1.4
Morton,Queen of Sth,A,2.6,3.2,2.7,1.97,1.79,1,2,8,6,8,6,1.4,1.6,2.0,1.6
Dundee United,Falkirk,H,1.9,3.6,3.79,1.96,1.79,3,0,6,5,6,11,2.0,1.4,0.8,0.8
Dunfermline,Morton,D,2.29,3.39,3.0,1.81,1.95,1,1,15,6,7,6,2.4,1.0,0.8,1.6
Brechin,Dundee United,D,8.5,4.75,1.36,1.68,2.09,1,1,1,7,5,6,0.2,0.0,2.0,1.4
Dunfermline,Dumbarton,D,1.39,4.75,7.0,1.64,2.18,2,2,11,6,4,5,2.0,1.0,1.2,1.0
Falkirk,Morton,A,2.14,3.6,3.1,2.11,1.69,0,3,1,3,7,6,0.8,0.8,0.8,1.6
Inverness C,St Mirren,A,2.45,3.39,2.75,1.82,1.93,0,2,3,5,6,6,1.0,1.0,2.6,1.4
Queen of Sth,Livingston,A,1.95,3.5,3.6,1.79,1.96,0,3,10,5,9,6,2.0,1.6,2.2,2.0
Dumbarton,Queen of Sth,D,4.75,3.75,1.7,1.86,1.89,2,2,4,10,6,6,1.2,1.2,1.4,1.6
Inverness C,Brechin,H,1.28,5.5,10.0,1.58,2.28,4,0,3,6,5,12,1.0,1.0,0.2,0.0
St Mirren,Livingston,H,2.1,3.39,3.39,1.78,1.95,3,1,14,6,10,4,2.6,1.4,2.2,2.4
Dundee United,Dunfermline,H,1.8,3.6,4.33,1.84,1.91,2,1,8,5,6,5,2.0,1.6,1.6,1.0
Morton,Brechin,H,1.36,4.59,8.5,1.74,2.01,4,1,5,7,4,12,0.8,1.6,0.2,0.0
Queen of Sth,Inverness C,D,2.14,3.5,3.2,1.83,1.93,0,0,6,7,5,6,1.4,1.6,1.4,1.0
St Mirren,Dumbarton,A,1.53,4.33,5.75,1.63,2.19,0,1,14,7,6,6,2.6,1.4,1.4,1.2
Brechin,St Mirren,A,8.0,4.75,1.36,1.58,2.28,1,2,1,7,5,5,0.2,0.0,2.0,1.4
Dunfermline,Queen of Sth,A,2.1,3.39,3.39,1.74,2.01,2,5,10,7,6,6,1.6,1.0,1.0,1.6
Morton,Dundee United,A,3.25,3.5,2.1,2.02,1.75,0,2,9,7,6,4,1.4,1.6,2.4,1.6
Inverness C,Dumbarton,H,1.55,4.0,6.0,1.87,1.87,1,0,6,5,6,5,1.4,1.2,1.4,1.6
St Mirren,Dunfermline,H,1.95,3.6,3.6,1.67,2.1,1,0,10,6,5,4,2.0,2.0,1.0,1.0
Livingston,Falkirk,D,2.0,3.39,3.75,2.02,1.75,0,0,9,5,5,11,2.2,1.8,0.6,0.8
Dumbarton,Falkirk,D,2.87,3.29,2.39,1.87,1.88,0,0,6,8,4,8,1.4,1.6,0.6,1.0
Dundee United,Livingston,H,1.8,3.6,4.33,1.93,1.81,3,0,9,5,10,7,2.4,2.0,2.2,1.8
Dunfermline,Brechin,H,1.3,5.0,10.0,1.57,2.28,2,1,9,12,5,15,1.0,0.4,0.2,0.0
Morton,Inverness C,H,2.75,3.29,2.5,1.97,1.78,1,0,6,7,3,2,0.8,1.6,2.0,1.2
Queen of Sth,St Mirren,A,2.29,3.5,2.89,1.81,1.94,2,3,5,7,7,3,1.0,2.2,2.0,2.0
Dumbarton,Livingston,A,2.89,3.5,2.29,2.01,1.75,1,4,4,7,7,9,1.0,1.6,2.2,1.2
St Mirren,Dundee United,H,3.1,3.39,2.25,1.8,1.96,2,0,8,5,8,4,2.0,2.0,2.4,2.0
Brechin,Inverness C,A,8.5,4.75,1.36,1.76,2.0,2,3,2,6,2,1,0.2,0.0,2.0,1.2
Falkirk,Queen of Sth,H,2.79,3.25,2.5,1.93,1.82,3,2,1,6,10,5,0.6,1.0,1.0,2.2
Dundee United,Brechin,H,1.19,6.5,12.0,1.52,2.4,4,1,10,4,5,15,2.4,1.4,0.2,0.0
Dunfermline,Falkirk,H,1.9,3.6,3.79,1.89,1.86,2,0,10,10,3,7,1.6,0.4,1.2,1.0
Inverness C,Livingston,D,2.14,3.39,3.25,2.02,1.75,1,1,6,2,9,10,2.0,1.6,2.2,1.2
Morton,St Mirren,D,2.79,3.39,2.39,1.83,1.91,1,1,7,6,8,5,1.4,1.6,2.0,2.0
Queen of Sth,Dumbarton,D,1.64,3.79,5.25,1.76,1.99,0,0,6,8,5,4,1.0,2.0,0.4,1.6
Brechin,Morton,D,7.0,4.75,1.39,1.7,2.06,1,1,4,8,8,5,0.2,0.0,1.4,1.6
Dumbarton,Dunfermline,A,3.6,3.75,1.9,1.85,1.89,0,1,3,10,2,5,0.4,1.6,1.6,0.4
Falkirk,Dundee United,H,3.25,3.6,2.1,1.82,1.93,6,1,4,6,5,5,1.2,0.4,3.0,1.4
Livingston,Queen of Sth,A,2.14,3.39,3.29,1.93,1.83,0,1,7,3,12,8,2.2,1.4,1.0,2.0
St Mirren,Inverness C,H,2.04,3.39,3.5,1.89,1.86,1,0,8,4,5,3,2.0,2.0,2.0,1.6
Inverness C,Falkirk,H,2.1,3.25,3.5,2.0,1.75,4,1,7,3,2,9,2.0,1.0,1.6,0.4
Brechin,Livingston,A,7.0,4.33,1.44,1.72,2.04,0,2,5,8,9,8,0.4,0.0,1.6,1.4
Dumbarton,St Mirren,A,4.5,3.75,1.75,1.79,1.94,0,2,3,9,9,6,0.4,1.6,2.4,2.0
Dunfermline,Dundee United,D,2.6,3.39,2.6,1.79,1.95,0,0,9,9,6,9,1.6,0.8,3.0,1.4
Inverness C,Queen of Sth,H,2.29,3.39,3.0,1.96,1.78,3,1,10,4,12,8,2.0,1.0,1.0,2.0
Morton,Falkirk,A,2.1,3.39,3.39,2.02,1.75,0,1,7,6,1,9,1.4,1.8,1.6,0.4
Dunfermline,St Mirren,A,2.45,3.39,2.75,1.84,1.91,1,2,8,8,10,4,1.6,0.8,2.4,2.6
Dundee United,Morton,A,1.83,3.6,4.2,1.99,1.76,0,3,14,3,8,4,3.0,1.0,1.4,1.8
Falkirk,Inverness C,H,2.25,3.5,3.0,1.97,1.78,3,1,10,7,3,4,1.6,1.0,2.6,1.0
Livingston,Dumbarton,H,1.66,3.75,5.0,1.95,1.8,2,0,5,3,4,3,1.6,1.4,0.4,1.6
Queen of Sth,Brechin,H,1.33,5.0,8.5,1.55,2.33,3,1,6,8,5,17,1.0,1.4,0.4,0.0
Falkirk,Livingston,A,2.25,3.6,2.89,1.99,1.77,1,3,13,8,8,8,2.0,1.0,1.6,1.4
Morton,Dunfermline,H,2.37,3.39,2.89,2.06,1.71,2,1,6,5,3,5,1.4,1.8,1.4,0.8
St Mirren,Queen of Sth,H,2.0,3.5,3.6,1.73,2.02,2,0,7,2,11,10,2.4,2.6,1.0,1.4
Falkirk,Brechin,H,1.36,5.0,7.5,1.61,2.21,3,1,13,10,4,17,1.8,1.0,0.4,0.0
Livingston,Dunfermline,D,2.1,3.39,3.39,1.95,1.8,0,0,5,3,4,6,1.6,2.0,1.4,0.8
Brechin,Falkirk,A,6.5,4.5,1.44,1.62,2.2,0,1,5,9,2,6,0.4,0.0,2.4,1.0
Livingston,St Mirren,H,2.79,3.5,2.37,1.94,1.81,4,1,2,1,10,5,1.2,2.0,2.4,2.6
