HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Kaiserslautern,Darmstadt,D,1,1,7,10,2,5,3,3,3,1,0,0,2.7,3.1,2.7,2.38,1.56,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Sandhausen,Ingolstadt,H,1,0,9,11,3,4,3,4,2,2,0,0,3.4,3.0,2.3,2.33,1.58,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
Union Berlin,Holstein Kiel,H,4,3,15,11,8,6,3,0,2,2,0,0,1.75,3.5,4.75,1.99,1.8,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0
Duisburg,Bochum,D,1,1,12,17,5,3,2,7,2,2,0,0,2.45,3.0,3.1,2.0,1.77,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0
Greuther Furth,Bielefeld,A,1,2,18,8,7,4,6,4,0,1,0,0,2.25,3.1,3.4,2.16,1.65,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0
Regensburg,Nurnberg,A,0,1,9,16,1,4,4,7,2,2,0,0,3.2,3.1,2.3,1.91,1.86,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
St Pauli,Dresden,D,2,2,12,11,5,4,5,3,1,3,0,0,1.91,3.4,4.0,2.03,1.74,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Heidenheim,Erzgebirge Aue,H,2,1,9,14,2,5,1,4,2,3,0,1,1.91,3.25,4.33,2.32,1.57,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0
Braunschweig,Erzgebirge Aue,D,1,1,10,12,6,7,3,4,2,4,0,0,1.75,3.4,5.0,2.05,1.75,2,0,1,2,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0
Darmstadt,St Pauli,H,3,0,17,13,8,6,6,9,2,1,0,0,2.5,3.2,2.88,2.14,1.69,1,0,1,0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
Dresden,Sandhausen,A,0,4,10,12,1,6,4,3,3,0,0,0,1.95,3.3,4.0,2.06,1.72,1,0,2,2,3.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0
Fortuna Dusseldorf,Kaiserslautern,H,2,0,20,10,8,1,10,4,3,3,0,0,1.91,3.4,4.0,2.21,1.63,2,2,0,3,1.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0
Heidenheim,Duisburg,A,1,2,16,18,7,6,2,6,2,3,0,0,2.05,3.25,3.75,2.16,1.66,2,1,0,1,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0
Holstein Kiel,Greuther Furth,H,3,1,18,13,8,5,4,3,3,2,0,0,2.05,3.3,3.6,2.16,1.66,2,2,0,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
Ingolstadt,Regensburg,A,2,4,19,19,8,11,6,5,3,2,0,0,1.67,3.5,5.5,1.96,1.81,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0
Nurnberg,Union Berlin,D,2,2,18,11,6,4,6,5,1,1,0,1,2.38,3.2,3.0,1.84,1.93,3,0,1,0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0
Bielefeld,Bochum,H,2,0,12,23,6,5,2,8,2,1,0,0,2.15,3.2,3.5,1.93,1.84,2,1,1,1,3.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
Duisburg,Darmstadt,A,1,2,12,9,4,6,4,2,2,1,0,0,2.45,3.2,3.0,2.14,1.69,1,1,1,1,1.0,1.5,3.0,1.0,2.0,0.0,3.5,0.5,1.5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0
Greuther Furth,Ingolstadt,A,0,1,13,7,2,2,4,6,3,1,1,0,3.0,3.2,2.38,2.12,1.7,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,0.0,2.0,0.0,1.0,2.0,2.0,0.5,1.0,2.5,1.0,0.0,2.0,0.0,3.0,0.0
Erzgebirge Aue,Nurnberg,H,3,1,17,11,10,6,7,4,3,2,0,0,2.9,3.3,2.38,2.02,1.76,0,2,1,0,0.0,0.5,2.0,3.0,5.0,0.0,3.5,0.5,0.5,0.0,2.0,0.0,0.0,2.0,1.5,1.0,2.5,1.0,0.0,1.0,4.0,0.0,1.0,0.0
Regensburg,Holstein Kiel,A,1,2,14,18,2,7,2,5,4,3,0,0,2.6,3.3,2.63,1.79,1.98,0,1,3,4,0.0,1.5,2.0,0.0,2.0,0.0,2.5,0.0,2.5,0.0,2.0,0.0,0.0,1.0,2.0,2.5,2.5,1.5,4.0,3.0,2.0,0.0,3.0,0.0
St Pauli,Heidenheim,H,1,0,13,10,4,1,11,3,0,3,0,0,1.85,3.4,4.2,2.12,1.69,2,2,0,2,1.0,1.5,1.5,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.5,0.5,1.5,1.5,2.0,0.0,1.0,0.0,2.0,0.0
Bochum,Dresden,H,3,2,10,15,5,5,3,8,3,4,0,0,1.95,3.3,4.0,1.74,2.04,0,1,2,2,0.0,0.5,1.5,1.0,1.0,0.0,1.5,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.5,0.5,0.5,2.0,2.0,2.0,1.0,0.0,3.0,0.0
Sandhausen,Fortuna Dusseldorf,A,1,2,12,10,3,5,2,2,3,4,0,0,2.45,3.3,2.88,2.24,1.61,1,0,2,0,3.0,2.0,2.0,3.0,2.0,0.0,1.5,0.0,2.5,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0
Union Berlin,Bielefeld,D,1,1,22,13,8,2,6,4,1,3,0,0,1.73,3.5,5.0,1.74,2.04,4,3,2,1,3.0,2.0,3.0,3.0,2.0,0.0,2.0,0.5,2.5,0.5,1.0,0.0,4.0,3.0,1.0,1.5,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.0
Kaiserslautern,Braunschweig,D,1,1,15,12,4,4,6,7,3,4,0,0,2.5,3.3,2.75,2.25,1.6,1,1,2,2,1.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,2.5,0.0,1.5,0.5,2.0,2.0,3.0,0.0,2.0,0.0
Dresden,Greuther Furth,D,1,1,14,14,4,6,4,2,1,3,0,0,2.35,3.3,3.0,1.95,1.83,1,4,1,4,1.5,0.5,0.0,0.0,2.0,0.0,3.5,0.0,1.5,0.5,3.0,0.0,0.5,2.0,2.5,2.0,0.5,1.5,2.0,0.5,4.0,0.0,3.0,1.0
Heidenheim,Regensburg,A,1,3,11,20,5,5,1,8,2,1,0,0,2.0,3.5,3.6,1.88,1.91,3,3,5,4,1.5,0.0,0.0,1.5,2.0,0.0,2.5,0.0,3.0,0.0,2.5,0.0,1.5,1.5,1.5,0.0,0.5,1.5,2.0,2.5,3.0,0.0,4.0,0.0
Bielefeld,Duisburg,A,0,4,13,14,3,9,2,2,1,3,0,0,2.1,3.4,3.4,2.0,1.78,4,1,2,2,3.0,2.0,0.5,1.5,2.5,0.5,2.0,0.0,2.0,0.0,3.5,0.5,2.0,0.5,1.0,1.5,1.0,1.5,1.0,1.0,3.0,0.0,2.0,0.0
Holstein Kiel,Kaiserslautern,H,2,1,10,13,5,3,7,2,3,2,0,0,1.75,3.75,4.33,1.93,1.85,5,3,0,5,2.0,1.5,1.0,0.0,2.5,0.0,2.5,0.0,3.0,0.0,3.0,0.0,2.5,1.5,2.5,2.5,1.0,1.0,2.5,0.0,3.0,0.0,3.0,0.0
Ingolstadt,Erzgebirge Aue,A,1,2,31,7,3,4,15,2,2,3,0,0,1.75,3.6,4.75,2.03,1.76,2,5,2,3,0.0,1.5,1.5,0.5,1.5,0.0,1.5,0.0,4.0,0.0,3.5,0.5,1.0,2.5,0.5,0.5,1.5,1.5,1.5,1.0,1.0,0.0,3.0,0.0
Braunschweig,Sandhausen,D,1,1,18,7,6,4,7,7,2,1,0,0,2.05,3.4,3.5,2.07,1.72,3,1,6,2,2.0,1.0,1.5,2.0,1.0,0.0,4.0,0.5,2.5,0.0,1.5,0.0,1.5,0.5,1.5,1.5,1.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0
Darmstadt,Bochum,A,1,2,14,9,5,4,3,6,1,1,0,0,2.3,3.3,3.1,1.96,1.81,4,0,1,3,3.0,2.0,1.5,0.5,1.5,0.0,1.0,0.0,2.0,0.0,1.5,0.0,2.0,0.0,1.0,1.5,1.5,1.5,1.5,0.5,1.0,0.0,3.0,0.0
Fortuna Dusseldorf,Union Berlin,H,3,2,17,6,6,4,7,7,2,3,0,0,2.45,3.3,2.8,2.01,1.77,4,2,3,2,2.0,3.0,2.0,2.0,2.5,0.0,3.0,0.0,1.5,0.0,2.0,0.5,2.0,1.0,0.5,2.0,2.5,2.0,1.0,1.5,4.0,0.0,1.0,0.0
Nurnberg,St Pauli,A,0,1,13,8,3,2,6,3,2,2,0,0,2.1,3.3,3.5,1.97,1.81,5,2,1,3,2.0,1.5,2.0,1.5,0.5,0.0,2.0,0.0,0.5,0.0,1.0,0.0,2.5,1.0,1.5,1.0,1.5,1.0,1.5,0.5,2.0,0.0,0.0,0.0
Erzgebirge Aue,Holstein Kiel,A,0,3,13,12,3,6,4,4,3,2,0,0,2.88,3.2,2.5,2.06,1.74,3,3,5,5,1.5,1.3333333333333333,2.3333333333333335,1.5,4.0,0.0,3.3333333333333335,0.3333333333333333,2.6666666666666665,0.0,2.5,0.0,1.5,1.5,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.5,2.5,3.0,0.0,3.0,0.0
Union Berlin,Braunschweig,D,1,1,22,15,6,4,5,3,2,2,0,0,1.83,3.5,4.2,1.85,1.92,5,4,3,3,2.0,1.3333333333333333,1.6666666666666667,1.0,1.5,0.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.0,4.0,0.5,2.5,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.5,1.5,3.0,0.0,2.0,0.0
Duisburg,Nurnberg,A,1,6,21,15,10,9,9,5,3,0,0,0,2.4,3.2,3.0,1.9,1.87,2,3,2,3,0.5,2.0,1.3333333333333333,1.5,2.0,0.0,3.3333333333333335,0.3333333333333333,1.0,0.0,2.0,0.0,1.0,1.5,0.6666666666666666,2.0,1.6666666666666667,1.0,1.5,1.0,3.0,0.0,2.0,0.0
Sandhausen,Kaiserslautern,H,1,0,14,9,5,2,2,5,2,2,0,0,2.0,3.4,3.7,2.28,1.59,2,2,1,7,1.5,1.6666666666666667,1.0,0.0,2.5,0.0,1.3333333333333333,0.0,3.0,0.0,2.6666666666666665,0.0,1.0,1.0,1.0,2.3333333333333335,1.0,1.0,2.3333333333333335,0.3333333333333333,1.0,0.0,2.0,0.0
St Pauli,Ingolstadt,A,0,4,6,19,3,7,5,4,0,5,0,0,2.45,3.3,2.8,2.13,1.68,3,2,1,1,2.0,2.0,0.0,1.5,0.5,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0,1.5,0.0,1.5,1.0,1.0,0.6666666666666666,1.0,2.3333333333333335,0.5,0.5,2.0,0.0,2.0,0.0
Bochum,Heidenheim,A,1,2,17,16,4,4,5,8,2,2,0,0,1.91,3.4,4.0,1.91,1.86,3,3,0,3,1.5,1.3333333333333333,1.0,0.0,2.0,0.0,1.3333333333333333,0.0,2.0,0.0,2.5,0.0,1.5,1.5,1.3333333333333333,1.0,1.3333333333333333,2.0,1.5,0.0,1.0,0.0,2.0,0.0
Darmstadt,Bielefeld,H,4,3,12,16,4,4,4,4,1,2,0,0,2.0,3.3,3.8,1.97,1.81,5,2,3,2,2.0,2.0,2.0,2.0,1.3333333333333333,0.0,1.0,0.0,2.0,0.3333333333333333,2.0,0.0,1.6666666666666667,0.6666666666666666,1.0,1.5,1.3333333333333333,1.6666666666666667,1.0,1.5,1.0,0.0,1.0,0.0
Greuther Furth,Fortuna Dusseldorf,H,3,1,24,7,9,3,10,3,3,2,0,0,2.7,3.2,2.63,2.05,1.73,1,3,4,1,0.0,0.3333333333333333,2.3333333333333335,3.0,1.5,0.5,3.0,0.0,2.3333333333333335,0.0,3.0,0.0,0.5,1.5,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.5,2.0,3.0,0.0,2.0,0.0
Regensburg,Dresden,A,0,2,9,12,1,5,9,1,2,2,0,0,2.38,3.4,2.88,1.71,2.09,1,3,4,5,0.0,2.0,1.3333333333333333,0.5,3.0,0.0,2.0,0.0,1.6666666666666667,0.0,3.5,0.0,0.5,1.5,1.6666666666666667,2.6666666666666665,0.6666666666666666,1.6666666666666667,2.5,2.0,1.0,0.0,1.0,0.0
Holstein Kiel,St Pauli,A,0,1,14,7,4,4,6,1,4,4,1,0,1.73,3.75,4.6,1.97,1.8,7,4,2,3,2.3333333333333335,2.0,1.3333333333333333,2.0,2.6666666666666665,0.0,2.3333333333333335,0.0,0.3333333333333333,0.0,1.3333333333333333,0.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,2.0,1.0,0.6666666666666666,2.0,0.0,0.0,0.0
Ingolstadt,Duisburg,D,2,2,18,11,6,5,10,3,1,1,0,0,1.62,3.6,6.0,1.82,1.96,3,7,6,2,0.0,2.0,0.3333333333333333,2.0,1.6666666666666667,0.0,2.6666666666666665,0.0,2.3333333333333335,0.0,3.3333333333333335,0.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,1.0,3.0,0.6666666666666666,2.0,5.0,0.0,3.0,0.0
Kaiserslautern,Erzgebirge Aue,A,0,2,15,16,3,7,4,2,1,2,0,0,2.2,3.2,3.4,2.54,1.48,2,2,4,4,1.0,0.0,1.0,1.3333333333333333,3.0,0.0,2.3333333333333335,0.0,3.6666666666666665,0.0,3.3333333333333335,0.3333333333333333,1.0,1.0,2.0,0.25,1.0,2.0,1.3333333333333333,1.3333333333333333,2.0,0.0,3.0,0.0
Sandhausen,Union Berlin,H,1,0,8,8,3,2,4,5,1,2,0,0,2.6,3.4,2.6,2.03,1.76,3,2,5,5,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,1.0,2.3333333333333335,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,0.0,2.0,0.0
Braunschweig,Greuther Furth,H,3,0,10,18,6,7,5,1,1,1,0,0,2.0,3.3,3.8,2.03,1.74,4,2,2,5,1.6666666666666667,1.0,1.0,0.3333333333333333,1.3333333333333333,0.0,3.3333333333333335,0.3333333333333333,2.0,0.3333333333333333,3.0,0.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,0.0,3.0,0.0
Dresden,Bielefeld,A,0,2,12,12,7,3,4,3,0,1,0,0,2.05,3.4,3.5,1.8,1.97,2,5,6,6,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,0.0,3.0,0.0,2.0,0.3333333333333333,2.0,0.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,2.0,2.0,2.0,0.0,2.0,0.0
Fortuna Dusseldorf,Regensburg,H,1,0,13,16,5,4,3,4,3,2,0,0,1.7,3.5,5.25,1.69,2.1,7,4,8,5,2.3333333333333335,2.0,0.0,2.0,2.3333333333333335,0.0,2.6666666666666665,0.0,2.6666666666666665,0.0,2.0,0.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.0,0.0,2.0,0.0
Heidenheim,Darmstadt,D,2,2,12,11,4,4,3,6,2,5,0,0,2.38,3.1,3.1,2.11,1.69,4,6,3,2,1.0,1.0,2.25,2.0,2.0,0.0,2.3333333333333335,0.0,1.3333333333333333,0.0,1.0,0.0,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,2.25,1.25,1.0,1.5,2.0,0.0,1.0,0.0
Nurnberg,Bochum,H,3,1,13,10,5,5,4,4,0,2,0,0,2.0,3.3,3.8,1.73,2.04,5,3,3,4,1.3333333333333333,2.0,1.0,1.3333333333333333,1.0,0.0,1.3333333333333333,0.0,2.0,0.0,1.3333333333333333,0.0,1.6666666666666667,1.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.0,0.0,2.0,0.0
Duisburg,Holstein Kiel,A,1,3,18,17,8,5,6,5,3,3,0,0,2.8,3.5,2.38,1.75,2.03,3,9,8,5,0.3333333333333333,1.75,1.75,2.0,2.3333333333333335,0.0,2.3333333333333335,0.0,3.3333333333333335,0.3333333333333333,2.3333333333333335,0.0,1.0,3.0,1.0,2.0,1.75,1.25,1.6666666666666667,2.6666666666666665,1.0,0.0,4.0,1.0
Erzgebirge Aue,Sandhausen,H,1,0,8,13,2,5,3,2,1,2,0,0,2.55,3.1,2.88,2.3,1.59,3,6,7,3,1.0,1.75,2.25,1.6666666666666667,3.6666666666666665,0.0,3.0,0.0,2.0,0.0,1.3333333333333333,0.0,1.0,2.0,1.0,1.5,1.0,0.5,1.0,2.3333333333333335,2.0,0.0,1.0,0.0
