HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Walsall,Bradford,D,3,3,14,9,7,4,11,3,0,3,0,0,3.75,3.3,2.2,2.34,1.57
Wigan,Portsmouth,D,1,1,18,5,9,2,4,4,0,3,1,1,2.0,3.5,4.2,2.08,1.72
Blackpool,AFC Wimbledon,H,1,0,18,4,9,1,7,4,1,3,0,1,2.4,3.3,3.25,2.19,1.65
Bradford,Bristol Rvs,H,3,1,20,11,8,4,12,4,1,0,0,0,2.4,3.5,3.1,1.92,1.86
Bury,Scunthorpe,A,0,1,11,11,1,4,7,4,1,3,0,0,3.0,3.4,2.5,1.93,1.85
Doncaster,Peterboro,D,0,0,12,11,5,3,8,4,2,3,0,0,2.1,3.75,3.5,1.72,2.08
Gillingham,Shrewsbury,A,1,2,14,9,6,6,5,5,1,1,0,0,3.1,3.5,2.4,1.95,1.84
Milton Keynes Dons,Oxford,D,1,1,15,10,2,6,3,3,1,2,0,0,2.5,3.4,3.0,1.99,1.79
Oldham,Charlton,A,3,4,10,16,4,8,5,5,5,3,1,0,4.0,3.4,2.1,2.15,1.67
Southend,Rochdale,D,0,0,17,4,4,1,7,5,3,3,0,1,2.15,3.5,3.6,1.87,1.91
Walsall,Plymouth,H,2,1,11,13,4,2,7,10,1,1,0,0,2.15,3.4,3.75,2.06,1.74
Portsmouth,Rotherham,A,0,1,13,12,2,5,8,4,1,3,0,0,2.1,3.6,3.75,1.85,1.93
AFC Wimbledon,Portsmouth,A,0,2,4,10,0,5,0,6,0,3,0,0,2.88,3.4,2.63,2.3,1.59
Bristol Rvs,Walsall,H,2,1,11,13,4,6,4,9,5,4,1,0,1.95,3.6,4.2,1.83,1.95
Charlton,Southend,H,2,1,17,13,6,1,8,7,2,2,0,0,2.3,3.5,3.25,1.79,2.0
Fleetwood Town,Oldham,D,2,2,13,7,2,2,6,6,1,3,0,0,1.75,3.6,5.75,2.27,1.61
Northampton,Doncaster,H,1,0,8,14,1,4,3,9,0,1,0,0,3.1,3.4,2.45,1.93,1.85
Oxford,Gillingham,H,3,0,24,9,14,2,4,2,0,0,0,0,1.65,4.2,5.5,1.77,2.02
Peterboro,Bradford,A,1,3,20,9,8,4,8,7,3,3,1,1,2.5,3.6,2.9,1.82,1.97
Plymouth,Milton Keynes Dons,A,0,1,12,11,2,3,5,1,3,4,1,0,2.9,3.5,2.55,1.96,1.82
Rochdale,Blackburn,A,0,3,10,16,0,7,7,6,0,1,0,0,2.9,3.5,2.55,2.09,1.72
Rotherham,Bury,H,3,2,20,7,10,4,6,3,0,2,0,0,1.85,3.75,4.5,1.86,1.93
Scunthorpe,Blackpool,D,0,0,17,10,6,3,5,4,1,2,0,0,2.0,3.6,4.0,1.98,1.81
Shrewsbury,Wigan,H,1,0,9,12,4,4,5,3,3,3,0,0,3.75,3.5,2.1,2.16,1.67
AFC Wimbledon,Gillingham,D,1,1,23,8,9,5,14,7,3,3,0,1,1.95,3.6,4.2,1.99,1.79
Bristol Rvs,Oldham,A,2,3,13,10,4,3,9,4,1,2,0,0,1.75,3.9,5.0,1.88,1.9
Charlton,Wigan,A,0,3,11,24,2,12,4,10,3,3,0,0,2.75,3.4,2.75,1.99,1.79
Fleetwood Town,Bury,H,3,2,11,13,6,5,2,2,2,2,0,0,1.95,3.6,4.33,2.02,1.76
Northampton,Portsmouth,H,3,1,4,21,3,9,3,7,0,3,0,0,3.1,3.4,2.45,2.09,1.71
Oxford,Bradford,D,2,2,10,6,5,2,0,1,1,0,0,0,2.45,3.4,3.1,1.98,1.8
Peterboro,Milton Keynes Dons,H,2,0,21,12,12,7,8,6,0,0,0,0,2.2,3.7,3.3,1.71,2.1
Plymouth,Blackpool,A,1,3,17,13,3,7,7,4,2,1,1,0,2.6,3.3,2.95,1.97,1.81
Rochdale,Doncaster,H,2,1,11,11,7,3,8,2,2,1,0,0,2.7,3.5,2.7,2.0,1.79
Rotherham,Walsall,H,5,1,12,7,8,2,3,4,0,1,0,0,2.0,3.6,4.0,1.87,1.92
Scunthorpe,Blackburn,A,0,1,16,6,7,3,8,4,0,1,0,0,2.9,3.4,2.6,2.04,1.75
Shrewsbury,Southend,H,1,0,8,11,5,5,5,4,3,2,0,0,2.25,3.5,3.4,1.98,1.81
Blackburn,AFC Wimbledon,A,0,1,10,10,3,3,8,6,2,2,0,0,1.67,4.0,5.75,2.0,1.78
Blackpool,Oxford,H,3,1,19,11,8,4,11,4,3,3,0,0,2.7,3.4,2.75,2.0,1.77
Bradford,Rotherham,H,1,0,10,20,4,7,7,4,4,2,0,1,2.2,3.4,3.6,1.98,1.8
Bury,Plymouth,D,0,0,18,6,9,2,3,2,1,1,0,0,2.3,3.6,3.2,1.92,1.85
Gillingham,Charlton,H,1,0,9,23,5,12,2,8,3,3,0,0,4.0,4.0,1.91,1.65,2.18
Milton Keynes Dons,Rochdale,H,3,2,9,12,6,7,5,2,1,2,0,0,2.2,3.4,3.6,1.93,1.85
Oldham,Shrewsbury,A,1,2,18,11,3,4,9,6,2,3,1,0,3.2,3.25,2.5,2.34,1.57
Portsmouth,Fleetwood Town,H,4,1,13,6,5,2,5,4,0,1,0,1,1.95,3.5,4.33,2.19,1.65
Southend,Northampton,D,2,2,15,6,4,4,7,4,3,3,0,1,1.91,4.0,4.0,1.77,2.02
Walsall,Peterboro,D,1,1,13,24,5,4,5,12,1,2,0,0,2.7,3.75,2.6,1.78,2.0
Wigan,Bristol Rvs,H,3,0,16,11,10,3,9,4,2,0,0,1,1.75,4.0,5.0,1.73,2.05
Doncaster,Scunthorpe,A,0,1,8,4,1,2,8,9,2,1,0,0,2.5,3.6,2.88,1.94,1.83
Wigan,Northampton,H,1,0,9,6,3,2,8,3,2,1,0,0,1.4,4.75,10.0,1.78,2.0
AFC Wimbledon,Milton Keynes Dons,A,0,2,11,6,4,5,6,2,3,2,0,0,2.55,3.25,3.1,2.2,1.64
Bristol Rvs,Blackpool,H,3,1,16,11,7,3,4,4,5,0,0,0,2.4,3.5,3.1,1.79,1.98
Charlton,Bury,D,1,1,19,11,8,3,4,4,1,2,0,0,1.75,3.9,5.0,1.67,2.16
Fleetwood Town,Southend,A,2,4,5,18,3,10,1,8,1,0,1,0,2.88,3.4,2.6,2.09,1.72
Northampton,Bradford,A,0,1,6,7,3,5,5,2,0,1,0,0,3.4,3.4,2.3,2.09,1.71
Oxford,Walsall,A,1,2,9,11,7,7,5,6,1,0,0,0,1.91,3.7,4.33,1.81,1.96
Peterboro,Wigan,H,3,2,13,16,10,6,3,6,1,2,0,0,3.2,3.6,2.3,1.77,2.01
Plymouth,Doncaster,A,0,3,4,14,0,10,2,7,3,2,1,0,3.2,3.6,2.3,1.88,1.9
Rochdale,Gillingham,H,3,0,19,9,9,1,4,4,2,1,0,1,1.67,4.1,5.5,1.72,2.07
Rotherham,Oldham,H,5,1,15,6,9,2,6,7,1,3,0,0,1.62,4.2,6.0,1.8,1.98
Scunthorpe,Portsmouth,H,2,0,8,13,3,3,4,8,0,0,0,0,2.55,3.5,2.9,2.04,1.75
Shrewsbury,Blackburn,D,1,1,16,14,5,5,6,4,0,1,0,0,3.2,3.4,2.38,2.14,1.67
Blackburn,Rotherham,H,2,0,19,11,6,2,11,5,3,4,0,0,2.15,3.5,3.6,1.88,1.9
Blackpool,Rochdale,D,0,0,11,15,2,5,3,6,1,0,0,0,2.3,3.5,3.3,1.83,1.95
Bradford,Fleetwood Town,A,0,3,21,14,6,6,12,3,2,0,0,0,1.85,3.6,4.75,2.17,1.66
Bury,Oxford,H,3,0,15,11,7,3,7,2,3,1,0,0,3.1,3.5,2.38,1.93,1.85
Doncaster,Shrewsbury,A,1,2,13,13,7,5,3,10,1,2,0,0,2.3,3.4,3.4,2.16,1.67
Gillingham,Scunthorpe,D,0,0,8,10,1,3,5,10,0,0,0,0,4.5,3.75,1.85,1.83,1.95
Milton Keynes Dons,Northampton,D,0,0,10,12,4,3,3,6,0,0,0,0,2.05,3.5,3.9,1.97,1.81
Oldham,Peterboro,H,3,2,12,15,5,8,2,9,3,1,1,0,4.2,3.8,1.91,1.74,2.05
Portsmouth,Bristol Rvs,H,3,0,11,13,3,2,6,7,1,2,0,0,1.95,3.6,4.2,1.82,1.95
Southend,AFC Wimbledon,H,1,0,14,14,6,2,4,7,1,1,0,0,2.05,3.5,4.0,2.04,1.75
Walsall,Charlton,D,2,2,18,13,5,5,6,5,2,1,0,0,3.0,3.5,2.45,1.8,1.98
Wigan,Plymouth,H,1,0,23,6,7,1,15,6,1,4,0,0,1.36,5.25,9.5,1.67,2.15
AFC Wimbledon,Rochdale,D,0,0,10,8,3,3,8,5,0,2,0,0,2.4,3.4,2.8,2.08,1.71
Blackburn,Gillingham,H,1,0,16,10,6,4,10,3,1,2,0,0,1.4,4.5,8.0,1.64,2.21
Bradford,Doncaster,H,2,0,7,19,5,7,6,9,3,1,0,0,2.2,3.4,3.2,2.11,1.7
Bristol Rvs,Plymouth,H,2,1,13,8,7,3,11,3,4,2,0,1,1.65,3.8,5.0,1.68,2.12
Bury,Milton Keynes Dons,A,0,2,26,18,11,8,9,8,2,3,0,0,2.4,3.4,2.8,2.03,1.74
Fleetwood Town,Charlton,A,1,3,6,7,2,5,3,9,3,0,0,0,2.6,3.4,2.6,1.9,1.87
