HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA,AHHY,AHR,AHAYY,AHAR,AAHHY,AAHR,AAAYY,AAAR,AHHG,AHAG,TAHG,TAAG,AAHG,AAAG,AHHG_AWAY,AHAG_AWAY,Last_Home_Yellow,Last_Home_Red,Last_Away_Yellow,Last_Away_Red
Albacete,Cordoba,A,0,3,11.0,12.0,0.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,2.5,3.2,2.8,2.32,1.58,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
Almeria,Oviedo,D,1,1,14.0,9.0,4.0,4.0,7.0,2.0,3.0,3.0,0.0,0.0,2.4,3.1,3.1,2.21,1.62,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0
Leonesa,Osasuna,H,2,1,16.0,5.0,7.0,1.0,9.0,1.0,3.0,3.0,0.0,1.0,3.3,3.1,2.3,2.39,1.53,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
Sevilla B,Valladolid,A,1,2,13.0,15.0,6.0,7.0,2.0,6.0,1.0,5.0,0.0,0.0,2.6,3.2,2.8,2.02,1.75,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,6.0,0.0,4.0,0.0
Vallecano,Numancia,D,2,2,18.0,12.0,9.0,5.0,11.0,3.0,1.0,2.0,0.0,0.0,1.91,3.4,4.0,2.13,1.68,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Cadiz,Alcorcon,D,0,0,14.0,9.0,5.0,3.0,7.0,4.0,3.0,4.0,0.0,0.0,2.0,3.2,4.0,2.71,1.42,0,0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Reus Deportiu,Gimnastic,D,1,1,12.0,11.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,2.1,3.0,4.0,2.72,1.42,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
Sp Gijon,Lugo,H,2,0,6.0,11.0,4.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,1.8,3.5,4.5,2.37,1.54,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Zaragoza,Granada,D,1,1,16.0,4.0,6.0,1.0,12.0,3.0,3.0,3.0,0.0,1.0,2.4,3.1,3.1,2.41,1.53,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Barcelona B,Tenerife,A,0,3,7.0,17.0,1.0,11.0,4.0,4.0,2.0,1.0,0.0,0.0,2.4,3.2,3.0,2.13,1.67,0,0,0,0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Granada,Barcelona B,D,2,2,11.0,13.0,3.0,5.0,5.0,5.0,2.0,1.0,0.0,0.0,1.73,3.6,4.75,1.94,1.84,0,0,2,1,1.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,0.0
Gimnastic,Sp Gijon,A,0,4,15.0,12.0,5.0,6.0,4.0,8.0,2.0,3.0,0.0,0.0,2.5,3.0,3.0,2.38,1.54,0,1,0,0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Lorca,Vallecano,D,0,0,10.0,13.0,3.0,3.0,6.0,2.0,2.0,2.0,0.0,0.0,2.88,3.2,2.5,2.18,1.64,2,0,3,2,3.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0
Lugo,Cadiz,A,0,1,9.0,13.0,3.0,6.0,4.0,6.0,3.0,1.0,0.0,0.0,2.3,3.1,3.2,2.39,1.54,0,0,2,1,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0
Numancia,Almeria,H,1,0,12.0,17.0,5.0,3.0,5.0,7.0,2.0,5.0,0.0,0.0,2.05,3.2,3.75,2.35,1.56,1,0,1,0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0
Osasuna,Huesca,D,1,1,12.0,12.0,2.0,2.0,7.0,6.0,6.0,7.0,0.0,0.0,1.95,3.2,4.2,2.31,1.57,1,1,0,1,1.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0
Cordoba,Zaragoza,A,1,2,12.0,7.0,5.0,3.0,5.0,5.0,2.0,4.0,0.0,1.0,2.3,3.1,3.3,2.29,1.58,1,2,0,1,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0
Oviedo,Reus Deportiu,H,3,0,17.0,13.0,9.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,1.91,3.3,4.2,2.68,1.43,2,3,0,0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
Sevilla B,Leonesa,A,1,2,11.0,13.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,2.4,3.1,3.1,2.32,1.57,1,2,0,2,0.0,1.0,3.0,0.0,1.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0
Valladolid,Tenerife,H,2,0,10.0,15.0,3.0,4.0,5.0,7.0,2.0,3.0,0.0,0.0,2.25,3.2,3.2,2.3,1.58,1,2,3,0,0.0,3.0,3.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0
Alcorcon,Albacete,H,1,0,14.0,8.0,5.0,2.0,5.0,2.0,2.0,4.0,0.0,0.0,1.8,3.4,4.75,2.67,1.43,0,0,0,0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0
Cadiz,Gimnastic,H,2,0,12.0,8.0,5.0,3.0,7.0,2.0,1.0,2.0,0.0,0.0,1.73,3.4,5.25,2.32,1.58,0,0,1,1,1.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.5,1.5,0.0,2.5,1.0,1.0,1.0,0.0,2.0,0.0
Almeria,Lorca,H,2,1,13.0,10.0,5.0,5.0,6.0,6.0,3.0,4.0,0.0,0.0,1.7,3.3,5.75,2.25,1.61,1,1,0,2,1.0,1.5,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0
Barcelona B,Cordoba,H,4,0,12.0,15.0,7.0,5.0,3.0,10.0,2.0,2.0,0.0,0.0,2.4,3.3,2.9,1.82,1.96,0,3,3,0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.5,2.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0
Huesca,Sevilla B,D,0,0,13.0,2.0,6.0,0.0,8.0,7.0,3.0,3.0,0.0,0.0,1.65,3.6,5.5,2.02,1.76,2,0,1,1,3.0,0.5,0.0,1.0,3.0,0.0,7.0,0.5,2.0,0.0,6.0,0.0,2.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,7.0,0.0,3.0,0.0
Sp Gijon,Oviedo,D,1,1,8.0,11.0,3.0,5.0,7.0,3.0,2.0,4.0,0.0,0.0,1.85,3.4,4.33,2.15,1.67,2,0,1,1,3.0,2.0,1.5,1.0,1.0,0.0,2.5,0.0,1.5,0.0,3.0,0.0,2.0,0.0,0.0,2.0,2.5,1.5,1.0,1.0,3.0,0.0,1.0,0.0
Albacete,Lugo,A,0,1,14.0,11.0,3.0,6.0,9.0,2.0,2.0,3.0,0.0,0.0,2.45,3.1,3.0,2.37,1.55,0,3,0,2,0.0,0.5,0.5,0.0,3.0,0.0,3.5,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.5,2.0,0.0,4.0,0.0,3.0,0.0
Leonesa,Valladolid,D,4,4,11.0,10.0,5.0,6.0,6.0,7.0,3.0,1.0,0.0,0.0,2.38,3.0,3.2,2.22,1.62,2,1,2,1,3.0,1.5,1.5,3.0,3.0,0.0,2.5,0.0,3.0,0.0,5.0,0.0,2.0,1.0,1.5,1.0,1.5,1.0,1.0,2.0,3.0,0.0,2.0,0.0
Tenerife,Granada,D,2,2,8.0,8.0,3.0,3.0,6.0,6.0,5.0,3.0,1.0,0.0,1.95,3.3,4.0,2.38,1.54,1,0,1,1,3.0,1.5,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.5,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0
Vallecano,Osasuna,A,0,3,17.0,11.0,2.0,5.0,3.0,3.0,1.0,5.0,0.0,0.0,2.1,3.4,3.4,2.14,1.67,2,2,1,2,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,4.5,0.0,3.0,1.0,2.0,2.0,1.0,1.5,1.0,1.0,2.0,1.0,2.0,0.0,6.0,0.0
Zaragoza,Alcorcon,A,0,1,9.0,7.0,1.0,2.0,1.0,3.0,3.0,6.0,0.0,0.0,1.85,3.6,4.0,2.52,1.48,1,1,0,0,1.0,1.5,2.0,1.0,3.0,0.0,3.5,0.5,2.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,4.0,1.0,2.0,0.0
Reus Deportiu,Numancia,H,1,0,11.0,6.0,3.0,1.0,3.0,1.0,2.0,3.0,0.0,0.0,2.6,3.0,2.88,2.46,1.49,1,1,2,2,1.0,0.5,3.0,1.0,1.0,0.0,1.0,0.0,1.5,0.0,2.0,0.0,1.0,1.0,1.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0
Lugo,Zaragoza,H,2,1,16.0,14.0,6.0,8.0,8.0,8.0,1.0,2.0,0.0,0.0,2.4,3.1,3.1,2.32,1.57,0,1,2,2,0.5,1.5,0.5,1.5,3.0,0.0,1.5,0.0,3.0,0.0,3.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,3.0,0.0,3.0,0.0
Lorca,Reus Deportiu,D,1,1,10.0,9.0,4.0,3.0,7.0,2.0,0.0,2.0,0.0,0.0,2.3,3.0,3.4,2.5,1.49,2,0,0,3,2.0,0.0,2.0,0.5,2.0,0.0,3.0,0.0,1.5,0.0,1.0,0.0,1.0,0.0,2.0,0.5,1.0,0.5,1.5,0.0,4.0,0.0,2.0,0.0
Numancia,Sp Gijon,H,3,0,9.0,7.0,3.0,3.0,4.0,7.0,1.0,1.0,0.0,1.0,2.3,3.0,3.4,2.3,1.57,2,0,4,0,3.0,0.5,2.0,2.0,1.5,0.0,2.5,0.0,1.5,0.0,2.5,0.0,1.0,0.0,1.5,1.0,1.5,0.5,0.0,2.0,3.0,0.0,2.0,0.0
Osasuna,Almeria,H,2,1,10.0,8.0,4.0,2.0,6.0,3.0,3.0,2.0,0.0,0.0,1.85,3.3,4.5,2.25,1.59,2,2,1,1,1.0,1.5,2.0,1.5,4.5,0.0,4.0,0.5,3.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,1.5,1.0,0.5,0.5,5.0,0.0,3.0,0.0
Sevilla B,Vallecano,D,0,0,10.0,9.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,3.2,3.3,2.25,2.02,1.76,2,4,3,2,0.0,1.0,0.5,2.0,2.0,0.0,4.5,0.0,1.0,0.0,4.0,0.0,1.0,2.0,0.5,0.5,1.0,2.5,1.0,1.5,3.0,0.0,1.0,0.0
Valladolid,Granada,H,2,1,17.0,10.0,10.0,3.0,8.0,7.0,6.0,3.0,0.0,0.0,1.85,3.5,4.2,1.96,1.8,3,2,3,3,1.5,2.0,1.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.5,1.5,1.0,2.5,3.0,1.0,1.0,1.5,1.5,1.0,0.0,3.0,0.0
Alcorcon,Barcelona B,D,1,1,18.0,12.0,3.0,6.0,6.0,6.0,2.0,1.0,0.0,0.0,2.0,3.3,3.8,2.09,1.71,1,0,4,3,2.0,2.0,1.5,2.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,2.0,1.5,1.5,2.0,6.0,0.0,2.0,0.0
Cordoba,Tenerife,H,2,0,18.0,8.0,4.0,4.0,9.0,3.0,0.0,2.0,0.0,0.0,2.4,3.2,3.0,2.12,1.68,2,4,3,2,0.0,1.5,2.0,1.5,1.0,0.0,2.0,0.0,2.5,0.5,2.0,0.0,1.0,2.0,2.0,1.5,1.5,1.0,1.0,1.5,2.0,0.0,5.0,1.0
Gimnastic,Albacete,H,3,1,8.0,9.0,3.0,4.0,1.0,5.0,2.0,4.0,0.0,0.0,2.1,3.1,3.7,2.36,1.55,0,5,0,1,0.0,0.5,0.0,0.5,2.0,0.0,2.5,0.0,2.5,0.0,3.5,0.0,0.0,2.5,1.5,0.5,0.0,2.0,0.5,0.0,2.0,0.0,2.0,0.0
Leonesa,Huesca,H,3,2,10.0,10.0,4.0,3.0,5.0,7.0,5.0,2.0,0.0,0.0,2.2,3.2,3.4,2.13,1.67,6,5,1,2,2.0,1.5,2.0,0.5,3.0,0.0,2.5,0.0,3.0,0.0,7.0,0.5,3.0,2.5,1.5,1.0,1.0,0.0,1.0,0.5,3.0,0.0,3.0,0.0
Oviedo,Cadiz,H,1,0,14.0,9.0,2.0,2.0,3.0,6.0,4.0,3.0,0.0,0.0,2.15,3.1,3.6,2.42,1.52,5,3,3,1,1.5,1.0,2.0,3.0,1.5,0.0,3.5,0.0,2.0,0.0,1.0,0.0,2.5,1.5,1.0,1.0,1.0,0.0,0.5,1.5,4.0,0.0,1.0,0.0
Almeria,Sevilla B,H,3,0,16.0,13.0,5.0,4.0,4.0,8.0,2.0,2.0,0.0,0.0,1.91,3.5,4.0,2.38,1.54,3,2,1,1,2.0,1.0,0.3333333333333333,1.0,3.0,0.0,2.6666666666666665,0.0,2.3333333333333335,0.0,4.5,0.0,1.5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.5,0.5,2.0,0.0,3.0,0.0
