HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Carlisle,Swindon,A,2.5,3.4,3.0,1.9,1.86,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Chesterfield,Grimsby,A,2.15,3.5,3.6,1.95,1.82,1,3,0,0,0,0,0.0,0.0,0.0,0.0
Coventry,Notts County,H,2.2,3.5,3.5,1.89,1.88,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Crawley Town,Port Vale,A,3.1,3.6,2.38,2.03,1.75,1,3,0,0,0,0,0.0,0.0,0.0,0.0
Crewe,Mansfield,D,3.25,3.4,2.38,2.1,1.7,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Exeter,Cambridge,H,2.2,3.4,3.6,2.03,1.75,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Forest Green,Barnet,D,2.15,3.6,3.6,1.9,1.86,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Luton,Yeovil,H,1.65,4.1,5.75,1.93,1.84,8,2,0,0,0,0,0.0,0.0,0.0,0.0
Morecambe,Cheltenham,H,3.0,3.4,2.5,1.95,1.82,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Stevenage,Newport County,D,2.15,3.4,3.7,1.96,1.81,3,3,0,0,0,0,0.0,0.0,0.0,0.0
Wycombe,Lincoln,D,2.4,3.5,3.1,2.05,1.74,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Barnet,Luton,H,3.4,3.4,2.3,1.91,1.86,1,0,0,0,0,0,0.0,1.0,3.0,0.0
Cambridge,Carlisle,A,2.2,3.5,3.5,1.87,1.91,1,2,0,0,0,0,0.0,0.0,0.0,0.0
Cheltenham,Crawley Town,H,2.05,3.5,4.0,2.02,1.76,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Colchester,Stevenage,D,2.4,3.5,3.1,1.87,1.9,1,1,0,0,0,0,0.0,0.0,1.0,0.0
Crewe,Newport County,D,2.38,3.4,3.2,1.94,1.84,1,1,2,2,3,3,1.0,0.0,0.0,1.0
Grimsby,Coventry,A,2.88,3.3,2.7,2.05,1.74,0,2,0,0,0,0,0.0,3.0,3.0,0.0
Lincoln,Morecambe,D,1.62,4.5,5.5,1.83,1.94,1,1,0,0,0,0,0.0,1.0,3.0,0.0
Mansfield,Forest Green,H,1.8,3.75,5.0,1.98,1.8,2,0,0,0,0,0,0.0,1.0,1.0,0.0
Notts County,Chesterfield,H,2.1,3.6,3.75,1.96,1.81,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Port Vale,Wycombe,A,2.5,3.4,3.0,2.12,1.69,2,3,0,0,0,0,0.0,3.0,1.0,0.0
Swindon,Exeter,D,2.6,3.4,2.88,1.9,1.87,1,1,0,0,0,0,0.0,3.0,3.0,0.0
Yeovil,Accrington,H,3.4,3.6,2.2,2.01,1.77,3,2,0,0,0,0,0.0,0.0,3.0,0.0
Accrington,Mansfield,H,2.9,3.3,2.63,1.95,1.84,2,1,3,1,2,2,3.0,0.0,3.0,1.0
Carlisle,Cheltenham,H,2.05,3.5,4.0,1.82,1.96,3,0,1,2,1,2,0.0,3.0,3.0,0.0
Chesterfield,Port Vale,H,2.5,3.4,3.0,1.92,1.86,2,0,1,3,3,1,0.0,0.0,0.0,3.0
Coventry,Newport County,A,1.95,3.5,4.33,1.97,1.81,0,1,3,0,4,4,3.0,3.0,0.0,1.0
Crawley Town,Cambridge,A,3.3,3.5,2.3,2.06,1.73,0,1,1,3,0,1,0.0,0.0,0.0,0.0
Crewe,Barnet,H,2.75,3.4,2.75,1.92,1.86,1,0,3,3,2,2,1.0,0.0,3.0,1.0
Exeter,Lincoln,H,2.3,3.4,3.4,1.98,1.79,1,0,1,0,2,2,3.0,1.0,1.0,1.0
Forest Green,Yeovil,H,2.05,3.5,4.0,1.86,1.9,4,3,2,2,2,8,1.0,0.0,3.0,0.0
Luton,Colchester,H,1.7,4.0,5.25,1.83,1.95,3,0,8,2,1,3,3.0,0.0,1.0,0.0
Morecambe,Swindon,A,3.0,3.4,2.5,1.79,1.99,0,1,2,1,2,1,3.0,1.0,1.0,3.0
Stevenage,Grimsby,H,2.3,3.5,3.3,1.98,1.79,3,1,3,3,3,1,1.0,1.0,0.0,3.0
