HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Bielefeld,Regensburg,H,2.0,3.5,3.6,2.06,1.73,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Darmstadt,Greuther Furth,H,2.05,3.25,3.75,2.13,1.68,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Ingolstadt,Union Berlin,A,2.15,3.2,3.5,2.04,1.74,0,1,0,0,0,0,0.0,0.0,0.0,0.0
Dresden,Duisburg,H,2.1,3.3,3.5,2.01,1.77,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Holstein Kiel,Sandhausen,D,2.05,3.25,3.75,2.28,1.59,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Nurnberg,Kaiserslautern,H,2.2,3.25,3.3,2.17,1.65,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Fortuna Dusseldorf,Braunschweig,D,2.4,3.2,3.0,2.2,1.64,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Kaiserslautern,Darmstadt,D,2.7,3.1,2.7,2.38,1.56,1,1,0,0,0,0,0.0,0.0,3.0,0.0
Sandhausen,Ingolstadt,H,3.4,3.0,2.3,2.33,1.58,1,0,0,0,0,0,0.0,1.0,0.0,0.0
Union Berlin,Holstein Kiel,H,1.75,3.5,4.75,1.99,1.8,4,3,0,0,0,0,0.0,3.0,1.0,0.0
Braunschweig,Heidenheim,H,2.05,3.1,4.0,2.12,1.69,2,0,0,0,0,0,0.0,1.0,0.0,0.0
Duisburg,Bochum,D,2.45,3.0,3.1,2.0,1.77,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Erzgebirge Aue,Fortuna Dusseldorf,A,2.6,3.0,2.88,2.26,1.59,0,2,0,0,0,0,0.0,0.0,1.0,0.0
Greuther Furth,Bielefeld,A,2.25,3.1,3.4,2.16,1.65,1,2,0,0,0,0,0.0,0.0,3.0,0.0
Regensburg,Nurnberg,A,3.2,3.1,2.3,1.91,1.86,0,1,0,0,0,0,0.0,0.0,3.0,0.0
St Pauli,Dresden,D,1.91,3.4,4.0,2.03,1.74,2,2,0,0,0,0,0.0,3.0,3.0,0.0
Heidenheim,Erzgebirge Aue,H,1.91,3.25,4.33,2.32,1.57,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Braunschweig,Erzgebirge Aue,D,1.75,3.4,5.0,2.05,1.75,1,1,2,0,1,2,3.0,1.0,0.0,0.0
Darmstadt,St Pauli,H,2.5,3.2,2.88,2.14,1.69,3,0,1,0,1,0,3.0,1.0,1.0,3.0
Dresden,Sandhausen,A,1.95,3.3,4.0,2.06,1.72,0,4,1,0,2,2,3.0,1.0,3.0,1.0
Fortuna Dusseldorf,Kaiserslautern,H,1.91,3.4,4.0,2.21,1.63,2,0,2,2,0,3,1.0,3.0,1.0,0.0
Heidenheim,Duisburg,A,2.05,3.25,3.75,2.16,1.66,1,2,2,1,0,1,3.0,0.0,1.0,0.0
Holstein Kiel,Greuther Furth,H,2.05,3.3,3.6,2.16,1.66,3,1,2,2,0,1,1.0,0.0,0.0,0.0
Ingolstadt,Regensburg,A,1.67,3.5,5.5,1.96,1.81,2,4,0,1,1,2,0.0,0.0,0.0,0.0
Nurnberg,Union Berlin,D,2.38,3.2,3.0,1.84,1.93,2,2,3,0,1,0,3.0,3.0,3.0,3.0
Bielefeld,Bochum,H,2.15,3.2,3.5,1.93,1.84,2,0,2,1,1,1,3.0,3.0,0.0,1.0
Duisburg,Darmstadt,A,2.45,3.2,3.0,2.14,1.69,1,2,1,1,1,1,1.0,1.5,3.0,1.0
Greuther Furth,Ingolstadt,A,3.0,3.2,2.38,2.12,1.7,0,1,1,2,0,1,0.0,0.0,0.0,0.0
Erzgebirge Aue,Nurnberg,H,2.9,3.3,2.38,2.02,1.76,3,1,0,2,1,0,0.0,0.5,2.0,3.0
Regensburg,Holstein Kiel,A,2.6,3.3,2.63,1.79,1.98,1,2,0,1,3,4,0.0,1.5,2.0,0.0
