HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Novara,Cittadella,H,1,0,12.0,12.0,6.0,8.0,1.0,2.0,2.0,4.0,0.0,0.0,2.1,3.2,3.6,2.09,1.7
Perugia,Parma,H,3,0,11.0,7.0,7.0,5.0,4.0,10.0,2.0,2.0,0.0,0.0,2.1,3.1,3.75,2.24,1.6
Salernitana,Pescara,D,2,2,10.0,10.0,7.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,2.05,3.4,3.5,1.47,2.54
Virtus Entella,Ternana,H,3,1,8.0,19.0,4.0,8.0,4.0,12.0,2.0,1.0,0.0,0.0,2.1,3.0,4.0,2.24,1.6
Avellino,Venezia,D,1,1,11.0,9.0,5.0,4.0,11.0,4.0,1.0,0.0,0.0,0.0,2.3,3.1,3.25,2.27,1.59
Ascoli,Frosinone,A,0,1,11.0,11.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,0.0,4.2,3.3,1.91,1.87,1.89
Bari,Cremonese,H,1,0,10.0,6.0,4.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0,2.0,3.1,4.2,2.23,1.61
Carpi,Foggia,A,1,3,9.0,12.0,3.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,1.95,3.3,4.0,2.05,1.74
Cittadella,Cesena,H,4,0,22.0,11.0,11.0,7.0,6.0,2.0,2.0,2.0,0.0,0.0,1.91,3.25,4.33,2.0,1.78
Palermo,Perugia,H,1,0,8.0,12.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,0.0,2.1,3.4,3.4,2.15,1.67
Parma,Empoli,A,1,2,5.0,12.0,4.0,8.0,9.0,3.0,0.0,2.0,0.0,0.0,2.45,3.1,3.1,2.28,1.58
Pescara,Virtus Entella,D,2,2,14.0,5.0,7.0,2.0,9.0,0.0,3.0,2.0,0.0,0.0,1.67,3.8,5.0,1.48,2.52
Pro Vercelli,Salernitana,D,1,1,12.0,11.0,4.0,4.0,7.0,6.0,2.0,3.0,0.0,0.0,2.8,3.1,2.63,2.32,1.57
Spezia,Novara,H,1,0,5.0,9.0,2.0,6.0,7.0,4.0,4.0,4.0,0.0,0.0,2.15,3.0,3.75,2.6,1.46
Bari,Ternana,H,3,0,16.0,11.0,8.0,1.0,3.0,6.0,1.0,1.0,0.0,0.0,1.67,3.4,6.0,2.12,1.68
Brescia,Foggia,D,2,2,9.0,5.0,4.0,3.0,10.0,4.0,3.0,1.0,0.0,0.0,2.7,3.1,2.7,1.98,1.78
Cremonese,Pescara,D,0,0,4.0,8.0,0.0,4.0,7.0,5.0,2.0,2.0,0.0,0.0,2.1,3.5,3.3,1.45,2.61
Empoli,Cittadella,A,0,1,9.0,4.0,5.0,1.0,10.0,4.0,2.0,4.0,0.0,0.0,1.91,3.4,4.0,1.93,1.83
Novara,Avellino,A,1,2,8.0,7.0,4.0,3.0,6.0,2.0,3.0,4.0,1.0,0.0,1.95,3.1,4.33,2.25,1.6
Perugia,Frosinone,H,1,0,5.0,12.0,2.0,8.0,3.0,7.0,3.0,2.0,0.0,0.0,2.3,3.1,3.3,2.09,1.7
Salernitana,Spezia,H,2,0,9.0,11.0,4.0,0.0,3.0,7.0,2.0,3.0,0.0,0.0,2.05,3.1,4.0,2.53,1.48
Venezia,Parma,A,0,1,10.0,3.0,5.0,2.0,7.0,2.0,3.0,2.0,0.0,0.0,2.5,2.9,3.1,2.47,1.5
Virtus Entella,Carpi,D,0,0,6.0,9.0,2.0,2.0,10.0,5.0,1.0,1.0,0.0,0.0,2.4,2.88,3.3,2.4,1.53
Cesena,Ascoli,A,0,2,9.0,9.0,2.0,2.0,5.0,3.0,3.0,2.0,0.0,0.0,1.75,3.25,5.25,2.05,1.72
Palermo,Pro Vercelli,H,2,1,8.0,12.0,6.0,6.0,4.0,4.0,3.0,3.0,1.0,0.0,1.5,3.9,7.0,2.04,1.73
Parma,Salernitana,D,2,2,7.0,9.0,6.0,3.0,5.0,3.0,1.0,3.0,2.0,0.0,2.0,3.1,4.2,2.41,1.52
Ascoli,Palermo,D,0,0,3.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,4.0,3.3,1.95,2.1,1.69
Avellino,Empoli,H,3,2,12.0,11.0,8.0,5.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,3.0,2.5,2.13,1.67
Brescia,Perugia,H,2,1,10.0,9.0,3.0,5.0,4.0,10.0,4.0,1.0,0.0,0.0,3.0,3.0,2.5,2.12,1.68
Carpi,Pescara,A,0,1,8.0,8.0,2.0,5.0,2.0,5.0,0.0,4.0,0.0,0.0,2.1,3.3,3.5,1.62,2.2
Cittadella,Virtus Entella,A,0,1,12.0,5.0,3.0,3.0,11.0,5.0,2.0,1.0,0.0,0.0,1.65,3.6,5.5,1.91,1.85
Pro Vercelli,Cesena,H,5,2,15.0,9.0,10.0,4.0,11.0,2.0,2.0,3.0,0.0,1.0,2.2,3.0,3.6,2.48,1.5
Spezia,Bari,H,1,0,2.0,2.0,1.0,0.0,8.0,4.0,4.0,4.0,1.0,0.0,2.55,3.1,2.88,2.56,1.47
Ternana,Venezia,A,2,3,9.0,5.0,4.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,2.6,2.9,3.0,2.43,1.51
Foggia,Novara,D,2,2,12.0,9.0,6.0,5.0,7.0,5.0,2.0,3.0,0.0,0.0,1.85,3.6,4.0,1.92,1.84
Frosinone,Cremonese,D,0,0,17.0,9.0,7.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,1.75,3.4,5.0,2.09,1.69
Ternana,Brescia,D,1,1,4.0,6.0,1.0,2.0,4.0,4.0,2.0,2.0,0.0,0.0,2.1,3.1,3.75,2.08,1.72
Cesena,Spezia,H,1,0,4.0,7.0,3.0,3.0,4.0,6.0,2.0,2.0,0.0,0.0,2.38,3.0,3.2,2.41,1.52
Salernitana,Ascoli,D,0,0,10.0,11.0,5.0,3.0,8.0,4.0,4.0,2.0,0.0,0.0,1.62,3.75,5.5,1.93,1.83
Bari,Avellino,H,2,1,9.0,6.0,4.0,3.0,6.0,3.0,1.0,2.0,0.0,0.0,1.73,3.4,5.25,2.01,1.75
Cremonese,Ternana,D,3,3,16.0,15.0,6.0,5.0,4.0,8.0,1.0,4.0,0.0,1.0,1.7,3.75,4.75,2.08,1.71
Empoli,Foggia,H,3,1,10.0,8.0,7.0,3.0,5.0,5.0,0.0,1.0,0.0,0.0,1.75,3.4,5.0,1.74,2.02
Novara,Frosinone,H,2,1,10.0,6.0,4.0,2.0,2.0,6.0,2.0,1.0,0.0,0.0,3.1,3.1,2.38,2.18,1.64
Palermo,Parma,D,1,1,8.0,9.0,3.0,4.0,0.0,6.0,3.0,3.0,0.0,0.0,2.5,3.1,2.9,2.35,1.55
Perugia,Pro Vercelli,A,1,5,6.0,12.0,2.0,7.0,11.0,8.0,1.0,2.0,1.0,0.0,1.57,3.6,6.5,2.03,1.74
Pescara,Cittadella,A,1,2,7.0,11.0,2.0,5.0,6.0,8.0,1.0,1.0,0.0,0.0,1.95,3.6,3.6,1.47,2.57
Venezia,Carpi,H,2,0,7.0,13.0,5.0,3.0,6.0,8.0,2.0,3.0,0.0,0.0,2.1,3.25,3.5,2.47,1.5
Virtus Entella,Brescia,H,3,0,16.0,11.0,7.0,3.0,7.0,7.0,2.0,3.0,0.0,0.0,2.0,3.25,3.9,2.14,1.67
Foggia,Perugia,H,2,1,9.0,13.0,6.0,4.0,4.0,5.0,6.0,2.0,0.0,0.0,2.2,3.3,3.25,1.75,2.03
Ascoli,Venezia,D,3,3,11.0,13.0,7.0,8.0,4.0,6.0,2.0,2.0,0.0,0.0,2.63,2.88,3.0,2.35,1.55
Brescia,Novara,A,0,1,8.0,6.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,2.3,3.0,3.4,2.18,1.63
Carpi,Cesena,H,2,1,9.0,12.0,4.0,3.0,2.0,12.0,3.0,3.0,0.0,0.0,1.95,3.1,4.33,2.36,1.54
Cittadella,Cremonese,A,1,2,19.0,3.0,6.0,2.0,13.0,6.0,1.0,8.0,0.0,2.0,2.2,3.25,3.3,1.99,1.77
Frosinone,Palermo,D,0,0,5.0,9.0,2.0,6.0,6.0,10.0,3.0,2.0,0.0,0.0,2.0,3.2,4.0,2.14,1.66
Parma,Pescara,A,0,1,8.0,10.0,3.0,8.0,4.0,5.0,2.0,3.0,0.0,0.0,2.0,3.4,3.75,1.65,2.14
Pro Vercelli,Bari,D,2,2,7.0,15.0,5.0,9.0,3.0,5.0,2.0,4.0,0.0,0.0,3.0,2.88,2.63,2.35,1.55
Ternana,Spezia,H,4,2,11.0,5.0,10.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,2.6,3.0,2.9,2.34,1.55
Avellino,Salernitana,A,2,3,12.0,10.0,8.0,7.0,5.0,7.0,1.0,2.0,0.0,0.0,2.25,3.0,3.5,2.03,1.73
Virtus Entella,Empoli,A,2,3,11.0,12.0,8.0,7.0,10.0,2.0,2.0,2.0,0.0,0.0,3.3,3.1,2.3,1.97,1.78
Bari,Cittadella,H,4,2,10.0,7.0,7.0,2.0,6.0,7.0,2.0,1.0,0.0,0.0,2.04,3.29,3.6,2.0,1.77
Cremonese,Brescia,H,2,0,9.0,10.0,5.0,6.0,10.0,9.0,2.0,4.0,0.0,0.0,2.04,3.25,3.7,2.09,1.71
Cesena,Foggia,D,3,3,15.0,13.0,9.0,5.0,6.0,3.0,1.0,1.0,0.0,0.0,2.5,3.1,2.89,1.84,1.93
Palermo,Novara,A,0,2,15.0,4.0,6.0,3.0,9.0,1.0,2.0,2.0,0.0,0.0,1.75,3.29,5.25,2.21,1.62
Parma,Virtus Entella,H,3,1,13.0,7.0,7.0,5.0,5.0,2.0,2.0,3.0,0.0,0.0,1.66,3.39,5.75,2.22,1.62
Pescara,Avellino,H,2,1,10.0,10.0,6.0,4.0,8.0,4.0,1.0,3.0,0.0,0.0,1.75,3.75,4.33,1.56,2.33
Pro Vercelli,Carpi,D,0,0,12.0,4.0,5.0,1.0,8.0,2.0,2.0,1.0,0.0,0.0,2.39,3.0,3.2,2.46,1.51
Salernitana,Frosinone,D,1,1,6.0,10.0,3.0,3.0,2.0,3.0,2.0,2.0,0.0,1.0,2.87,3.1,2.54,2.12,1.69
Spezia,Perugia,H,4,2,7.0,14.0,4.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,2.25,3.0,3.5,2.38,1.54
Ternana,Ascoli,D,1,1,9.0,5.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,2.04,3.1,4.0,1.92,1.85
Venezia,Empoli,H,1,0,5.0,9.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,3.25,3.0,2.37,2.18,1.64
Brescia,Bari,H,2,1,10.0,8.0,6.0,7.0,7.0,2.0,3.0,2.0,0.0,0.0,2.7,3.1,2.7,2.12,1.68
Ascoli,Spezia,H,3,1,12.0,5.0,7.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,2.62,3.0,2.87,2.43,1.52
Avellino,Pro Vercelli,H,1,0,13.0,5.0,7.0,1.0,6.0,4.0,4.0,5.0,1.0,0.0,2.0,3.2,4.0,2.06,1.73
Carpi,Palermo,A,1,3,9.0,7.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,2.5,2.73,1.42
Cittadella,Venezia,H,2,1,8.0,8.0,3.0,3.0,5.0,5.0,3.0,3.0,0.0,0.0,1.95,3.29,4.0,2.03,1.75
Empoli,Pescara,H,3,1,11.0,7.0,9.0,4.0,4.0,10.0,1.0,0.0,0.0,0.0,1.75,3.75,4.33,1.52,2.42
Foggia,Parma,A,0,3,10.0,14.0,5.0,9.0,3.0,6.0,1.0,1.0,0.0,0.0,2.2,3.29,3.29,1.77,2.01
Frosinone,Ternana,H,4,2,12.0,6.0,5.0,4.0,5.0,2.0,2.0,1.0,0.0,0.0,1.5,3.75,7.5,1.83,1.94
Novara,Salernitana,A,2,3,13.0,11.0,6.0,6.0,3.0,4.0,0.0,2.0,0.0,0.0,2.04,3.1,4.0,2.26,1.59
Perugia,Cesena,A,0,3,11.0,4.0,3.0,3.0,8.0,1.0,4.0,1.0,0.0,0.0,1.7,3.39,5.5,1.89,1.87
Virtus Entella,Cremonese,D,1,1,8.0,14.0,4.0,8.0,4.0,4.0,2.0,3.0,0.0,0.0,2.25,3.0,3.5,2.08,1.71
Bari,Ascoli,H,3,0,11.0,6.0,6.0,2.0,1.0,5.0,3.0,2.0,0.0,1.0,1.61,3.5,6.25,1.96,1.8
Cesena,Novara,D,2,2,15.0,9.0,8.0,2.0,4.0,5.0,2.0,2.0,0.0,0.0,2.14,3.0,3.79,2.13,1.66
Cremonese,Perugia,D,3,3,11.0,12.0,3.0,4.0,6.0,5.0,3.0,4.0,0.0,0.0,2.0,3.2,4.0,1.94,1.83
Palermo,Virtus Entella,H,2,0,11.0,9.0,6.0,4.0,2.0,4.0,3.0,4.0,0.0,1.0,1.57,3.6,6.5,2.02,1.74
Pescara,Brescia,A,0,3,9.0,9.0,3.0,5.0,8.0,2.0,2.0,1.0,0.0,0.0,1.6,3.75,5.75,1.49,2.49
Salernitana,Empoli,H,2,1,5.0,10.0,2.0,4.0,5.0,6.0,2.0,1.0,0.0,0.0,3.39,3.1,2.25,2.02,1.74
Spezia,Cittadella,D,0,0,8.0,10.0,2.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0,2.14,3.1,3.6,2.26,1.6
Venezia,Frosinone,D,1,1,6.0,7.0,2.0,3.0,5.0,4.0,2.0,2.0,0.0,0.0,3.2,2.89,2.45,2.17,1.64
Parma,Avellino,H,2,0,8.0,4.0,4.0,1.0,1.0,8.0,2.0,4.0,0.0,0.0,1.72,3.5,5.0,2.06,1.72
Pro Vercelli,Foggia,A,1,4,8.0,18.0,3.0,10.0,2.0,9.0,1.0,3.0,1.0,0.0,2.29,3.1,3.29,1.78,1.98
Ternana,Carpi,D,0,0,9.0,2.0,1.0,2.0,8.0,4.0,1.0,1.0,0.0,0.0,2.39,3.1,3.1,2.21,1.62
Pescara,Palermo,D,2,2,7.0,10.0,3.0,5.0,7.0,5.0,3.0,0.0,0.0,0.0,2.2,3.5,3.1,1.68,2.13
Brescia,Venezia,A,1,2,7.0,11.0,3.0,4.0,9.0,7.0,1.0,1.0,0.0,0.0,2.35,3.0,3.29,2.22,1.61
Carpi,Ascoli,H,4,2,12.0,13.0,6.0,5.0,1.0,5.0,2.0,2.0,0.0,0.0,1.8,3.39,4.75,2.28,1.58
Cittadella,Ternana,D,1,1,8.0,8.0,3.0,3.0,7.0,3.0,2.0,2.0,0.0,0.0,1.6,3.6,6.0,1.78,2.0
Foggia,Cremonese,A,2,3,11.0,5.0,5.0,4.0,11.0,3.0,1.0,1.0,0.0,0.0,2.1,3.2,3.6,1.65,2.16
Frosinone,Parma,H,2,1,14.0,8.0,6.0,4.0,7.0,6.0,2.0,2.0,0.0,0.0,1.72,3.6,4.75,2.07,1.71
Novara,Pro Vercelli,A,0,1,6.0,7.0,2.0,4.0,9.0,1.0,0.0,1.0,0.0,0.0,1.85,3.29,4.5,2.15,1.65
Salernitana,Bari,D,2,2,9.0,12.0,5.0,6.0,4.0,5.0,2.0,1.0,0.0,0.0,2.54,3.1,2.87,2.01,1.76
