HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Ajax,Vitesse,A,1.25,5.5,12.0,1.45,2.64,1,2,6,1,6,1,3.0,1.3333333333333333,1.3333333333333333,3.0
AZ Alkmaar,Excelsior,A,1.3,5.0,10.0,1.42,2.74,0,2,4,1,4,3,3.0,2.0,0.0,2.0
Groningen,Twente,H,2.0,3.6,3.5,1.61,2.25,1,0,6,5,1,5,1.6666666666666667,0.0,1.5,0.0
Utrecht,PSV Eindhoven,A,3.4,3.75,2.0,1.61,2.25,1,7,4,0,4,3,3.0,1.0,3.0,1.5
VVV Venlo,Zwolle,D,2.3,3.4,3.0,1.72,2.08,1,1,3,2,1,4,1.5,1.6666666666666667,3.0,0.5
Twente,Heracles,H,1.91,3.75,3.6,1.56,2.36,2,1,5,2,2,3,1.5,0.0,1.75,0.5
Excelsior,VVV Venlo,A,2.15,3.3,3.4,1.99,1.8,0,2,1,6,4,3,0.0,2.3333333333333335,1.3333333333333333,1.6666666666666667
NAC Breda,Den Haag,A,2.25,3.25,3.2,1.86,1.91,0,1,5,7,2,3,1.3333333333333333,1.0,1.0,1.5
PSV Eindhoven,Willem II,H,1.17,7.0,15.0,1.38,2.9,4,0,6,2,3,8,3.0,2.0,0.0,1.0
Zwolle,Groningen,H,2.0,3.4,3.75,1.61,2.25,3,2,8,3,2,5,3.0,0.6666666666666666,2.0,0.0
AZ Alkmaar,Feyenoord,A,3.1,3.4,2.25,1.63,2.21,0,4,4,3,5,3,2.0,2.0,2.0,2.0
Heerenveen,Ajax,A,4.75,4.0,1.67,1.59,2.28,0,4,3,1,4,3,2.0,2.5,2.0,1.3333333333333333
Sparta Rotterdam,Roda,A,1.73,3.5,5.0,1.83,1.94,1,2,2,3,3,10,1.3333333333333333,0.3333333333333333,0.0,0.0
Vitesse,Utrecht,D,2.2,3.25,3.3,1.74,2.05,1,1,6,4,4,6,1.3333333333333333,3.0,2.0,1.0
Ajax,Sparta Rotterdam,H,1.13,8.5,17.0,1.29,3.38,4,0,7,3,2,6,2.0,1.75,1.0,0.3333333333333333
Feyenoord,Zwolle,D,1.33,5.0,9.0,1.41,2.79,0,0,7,3,2,5,2.0,2.25,3.0,0.6666666666666666
Roda,NAC Breda,H,2.88,3.25,2.45,1.84,1.92,1,0,2,6,4,6,0.0,0.6,1.0,1.0
Utrecht,Heerenveen,H,1.91,3.6,3.8,1.61,2.23,3,1,5,7,9,6,2.0,1.0,1.3333333333333333,2.5
Den Haag,Excelsior,A,2.1,3.4,3.4,1.83,1.94,1,2,3,6,6,3,1.0,2.0,0.0,2.3333333333333335
Groningen,AZ Alkmaar,D,3.5,3.5,2.05,1.51,2.47,1,1,7,5,6,4,2.0,0.0,1.5,2.0
Heracles,Vitesse,D,3.4,3.4,2.1,1.62,2.21,1,1,8,8,8,2,1.75,0.3333333333333333,1.25,3.0
VVV Venlo,PSV Eindhoven,A,7.0,4.33,1.44,1.59,2.25,2,5,4,3,11,4,1.3333333333333333,2.0,3.0,2.0
Willem II,Twente,H,2.45,3.3,2.8,1.79,1.97,3,1,3,6,1,6,0.0,0.75,2.0,0.0
Groningen,Willem II,A,1.83,3.6,4.2,1.7,2.11,0,1,8,6,3,12,1.8,0.0,0.75,0.75
Excelsior,Sparta Rotterdam,D,2.0,3.5,3.6,1.79,1.98,1,1,1,8,2,10,0.0,2.5,1.0,0.25
NAC Breda,Zwolle,A,2.87,3.39,2.37,1.73,2.06,0,2,5,8,2,5,1.0,0.75,3.0,0.75
Twente,Roda,H,1.55,4.0,5.75,1.64,2.19,3,0,7,3,5,11,2.0,0.0,1.0,0.6
VVV Venlo,Den Haag,A,1.85,3.89,3.75,1.87,1.9,0,2,6,8,3,3,1.0,2.0,0.8,2.0
AZ Alkmaar,Utrecht,H,2.0,3.75,3.39,1.5,2.48,3,0,4,7,5,7,1.5,1.75,2.25,1.0
Feyenoord,Ajax,A,2.79,3.39,2.39,1.74,2.04,1,4,7,3,8,3,1.75,2.25,2.25,1.75
Heerenveen,Vitesse,A,2.04,3.6,3.29,1.63,2.2,0,4,3,5,9,3,1.3333333333333333,2.0,1.25,2.5
PSV Eindhoven,Heracles,H,1.16,7.0,15.0,1.24,3.77,3,0,10,2,3,5,3.0,2.25,1.6,0.3333333333333333
Twente,Excelsior,A,1.72,3.79,4.5,1.66,2.17,1,3,10,3,8,4,2.25,0.0,0.2,2.5
Heracles,VVV Venlo,H,2.37,3.6,2.75,1.65,2.17,3,0,9,9,6,3,1.6,0.25,0.8,2.0
Roda,Feyenoord,D,9.0,5.5,1.3,1.58,2.29,1,1,3,6,9,3,1.0,0.6,1.4,2.25
Willem II,Ajax,A,11.0,5.75,1.25,1.53,2.4,1,3,6,7,12,4,0.75,1.2,2.25,2.0
Zwolle,Den Haag,H,1.6,4.0,5.5,1.65,2.16,2,0,11,5,5,3,3.0,1.2,0.8,2.25
Heerenveen,AZ Alkmaar,A,2.5,3.6,2.6,1.46,2.58,1,2,3,9,7,5,1.0,2.0,1.8,1.75
Sparta Rotterdam,Groningen,H,2.2,3.5,3.1,1.61,2.23,2,1,3,5,4,8,1.0,0.4,1.6,0.0
