HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Lyon,Strasbourg,H,1.36,5.0,8.5,1.54,2.43,4,0,0,0,0,0,0.0,0.0,0.0,0.0
Metz,Guingamp,A,2.8,3.2,2.63,2.14,1.7,1,3,0,0,0,0,0.0,0.0,0.0,0.0
Montpellier,Caen,H,1.91,3.5,4.2,2.07,1.74,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Paris SG,Amiens,H,1.11,9.0,25.0,1.35,3.11,2,0,0,0,0,0,0.0,0.0,0.0,0.0
St Etienne,Nice,H,2.2,3.2,3.5,2.31,1.6,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Troyes,Rennes,D,2.6,3.1,2.9,2.3,1.6,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Angers,Bordeaux,D,2.5,3.1,3.1,2.42,1.54,2,2,0,0,0,0,0.0,0.0,0.0,0.0
Lille,Nantes,H,2.0,3.2,4.1,2.36,1.57,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Marseille,Dijon,H,1.4,4.75,8.0,1.65,2.2,3,0,0,0,0,0,0.0,0.0,0.0,0.0
Nice,Troyes,A,1.53,4.0,7.0,1.84,1.97,1,2,0,0,0,0,0.0,0.0,1.0,0.0
Rennes,Lyon,A,3.6,3.5,2.0,1.78,2.04,1,2,0,0,0,0,0.0,1.0,3.0,0.0
Amiens,Angers,A,2.9,3.1,2.63,2.46,1.53,0,2,0,0,0,0,0.0,0.0,1.0,0.0
Bordeaux,Metz,H,1.44,4.2,8.5,1.7,2.13,2,0,0,0,0,0,0.0,1.0,0.0,0.0
Caen,St Etienne,A,3.0,3.1,2.5,2.42,1.54,0,1,0,0,0,0,0.0,0.0,3.0,0.0
Nantes,Marseille,A,3.5,3.4,2.15,2.02,1.79,0,1,0,0,0,0,0.0,0.0,3.0,0.0
Toulouse,Montpellier,H,2.2,3.2,3.5,2.22,1.65,1,0,0,0,0,0,0.0,0.0,3.0,0.0
Dijon,Monaco,A,7.0,4.2,1.5,1.6,2.3,1,4,0,0,0,0,0.0,0.0,3.0,0.0
Guingamp,Paris SG,A,15.0,6.0,1.22,1.54,2.43,0,3,0,0,0,0,0.0,3.0,3.0,0.0
Strasbourg,Lille,H,3.75,3.3,2.1,2.08,1.74,3,0,0,0,0,0,0.0,0.0,3.0,0.0
Metz,Monaco,A,10.0,5.0,1.3,1.45,2.7,0,1,1,3,4,1,0.0,0.0,3.0,3.0
Lyon,Bordeaux,D,1.57,4.33,5.5,1.57,2.37,3,3,4,0,2,2,3.0,3.0,3.0,1.0
Montpellier,Strasbourg,D,1.85,3.5,4.5,1.86,1.94,1,1,1,0,0,4,3.0,0.0,3.0,0.0
Nice,Guingamp,H,2.0,3.3,4.0,2.0,1.81,2,0,1,2,3,1,0.0,0.0,0.0,3.0
Rennes,Dijon,D,1.6,3.9,6.0,1.94,1.86,2,2,1,2,0,3,0.0,1.0,0.0,0.0
St Etienne,Amiens,H,1.53,4.0,7.0,2.13,1.7,3,0,1,0,0,2,3.0,3.0,0.0,0.0
Troyes,Nantes,A,2.5,3.1,3.1,2.26,1.63,0,1,1,1,0,3,1.0,3.0,0.0,0.0
Lille,Caen,A,1.6,3.8,6.0,1.82,1.98,0,2,3,0,0,1,3.0,0.0,0.0,0.0
Marseille,Angers,D,1.6,3.9,5.75,1.82,1.98,1,1,3,0,2,0,3.0,3.0,1.0,3.0
Paris SG,Toulouse,H,1.08,11.0,34.0,1.32,3.31,6,2,2,0,2,3,3.0,3.0,3.0,0.0
Paris SG,St Etienne,H,1.08,11.0,29.0,1.24,3.98,3,0,8,2,1,0,3.0,3.0,3.0,3.0
Amiens,Nice,H,3.3,3.2,2.3,2.18,1.67,3,0,0,2,0,1,0.0,0.0,1.5,0.0
Bordeaux,Troyes,H,1.44,4.5,7.5,1.71,2.13,2,1,2,0,2,1,3.0,1.0,0.5,3.0
Caen,Metz,H,1.85,3.4,4.75,1.99,1.81,1,0,0,1,0,2,0.0,1.5,0.0,0.0
Dijon,Montpellier,H,2.55,3.2,2.88,2.07,1.75,2,1,1,4,0,1,0.0,0.5,2.0,0.0
Nantes,Lyon,D,3.6,3.4,2.1,1.82,1.97,0,0,0,1,2,1,0.0,1.5,2.0,3.0
Toulouse,Rennes,H,2.3,3.1,3.4,2.28,1.61,3,2,1,0,1,1,3.0,0.0,0.5,1.0
Angers,Lille,D,2.25,3.1,3.5,2.2,1.66,1,1,2,2,0,3,1.0,2.0,1.5,0.0
Guingamp,Strasbourg,H,1.91,3.4,4.33,2.1,1.73,2,0,0,3,1,5,0.0,1.5,3.0,0.5
Monaco,Marseille,H,1.62,4.0,5.5,1.6,2.32,6,1,3,2,1,0,3.0,3.0,2.0,3.0
Lille,Bordeaux,D,3.0,3.3,2.45,1.99,1.82,0,0,3,2,5,5,1.5,0.5,3.0,1.0
Metz,Paris SG,A,19.0,10.0,1.13,1.34,3.22,1,5,1,4,3,0,0.0,0.0,3.0,3.0
Caen,Dijon,H,2.05,3.2,4.0,1.98,1.82,2,1,1,1,2,5,1.5,1.5,1.5,0.5
Montpellier,Nantes,A,2.15,3.2,3.8,2.45,1.54,0,1,2,1,1,3,2.0,0.0,0.5,1.5
Nice,Monaco,H,4.75,3.6,1.8,1.66,2.21,4,0,3,2,5,1,1.5,0.0,3.0,3.0
Strasbourg,Amiens,A,2.0,3.2,4.2,2.22,1.65,0,1,3,0,0,5,3.0,0.3333333333333333,1.5,0.0
Troyes,Toulouse,D,2.88,3.2,2.6,2.14,1.7,0,0,1,2,4,9,0.5,1.5,3.0,0.0
Lyon,Guingamp,H,1.4,4.75,8.5,1.5,2.55,2,1,7,3,3,3,2.0,2.0,1.5,1.5
Marseille,Rennes,A,1.67,4.0,5.0,1.77,2.04,1,3,4,1,3,4,2.0,1.5,0.5,0.5
St Etienne,Angers,D,2.15,3.2,3.75,2.48,1.53,1,1,4,0,3,1,3.0,1.5,1.0,2.0
Toulouse,Bordeaux,A,2.9,3.1,2.5,2.2,1.66,0,1,4,2,5,5,3.0,0.3333333333333333,3.0,1.0
Dijon,St Etienne,A,3.0,3.2,2.5,2.32,1.59,0,1,3,5,1,3,1.5,0.3333333333333333,2.3333333333333335,1.5
Guingamp,Lille,H,2.15,3.3,3.5,2.06,1.75,1,0,2,3,1,4,1.5,1.0,1.3333333333333333,0.5
Monaco,Strasbourg,H,1.18,7.5,15.0,1.4,2.86,3,0,9,3,1,7,3.0,2.0,1.5,0.3333333333333333
Nantes,Caen,H,1.95,3.25,4.33,2.41,1.55,1,0,0,1,2,1,0.5,2.0,2.0,1.5
Troyes,Montpellier,A,2.8,3.2,2.7,2.07,1.74,0,1,1,2,1,3,0.6666666666666666,1.5,1.3333333333333333,0.0
Amiens,Marseille,A,4.0,3.2,2.05,2.05,1.76,0,2,3,2,2,6,1.5,1.0,1.3333333333333333,1.5
Angers,Metz,A,1.5,4.0,7.5,1.96,1.84,0,1,3,3,0,3,1.0,1.6666666666666667,0.0,0.0
Paris SG,Lyon,H,1.17,7.5,17.0,1.19,4.55,2,0,11,2,2,1,3.0,3.0,2.3333333333333335,2.0
Rennes,Nice,A,2.3,3.2,3.3,2.03,1.77,0,1,3,4,0,4,0.5,1.3333333333333333,2.0,0.0
Lille,Monaco,A,4.75,3.8,1.7,1.77,2.04,0,4,3,2,5,5,1.3333333333333333,0.3333333333333333,3.0,2.0
Nice,Angers,D,1.8,3.5,4.5,2.13,1.71,2,2,7,2,4,2,2.0,1.0,0.6666666666666666,1.6666666666666667
Bordeaux,Guingamp,H,1.73,3.5,5.5,1.95,1.85,3,1,4,1,4,5,3.0,1.5,2.0,1.0
Caen,Amiens,H,1.85,3.3,4.75,2.32,1.59,1,0,3,2,1,5,2.0,1.0,1.0,1.0
Lyon,Dijon,D,1.29,5.75,10.0,1.41,2.83,3,3,9,4,3,7,2.3333333333333335,1.3333333333333333,1.0,0.3333333333333333
Metz,Troyes,A,2.0,3.3,4.0,2.03,1.78,0,1,2,9,3,3,0.0,1.0,0.5,1.5
Montpellier,Paris SG,D,17.0,7.5,1.17,1.5,2.54,0,0,2,2,8,1,1.3333333333333333,1.0,3.0,3.0
Marseille,Toulouse,H,1.53,4.2,6.5,1.74,2.07,2,0,5,4,4,9,1.3333333333333333,2.0,2.0,0.3333333333333333
St Etienne,Rennes,D,2.05,3.2,4.0,2.22,1.64,2,2,5,1,6,5,2.3333333333333335,2.0,0.3333333333333333,1.3333333333333333
