HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Edinburgh City,Annan Athletic,A,0,1,5.0,13.0,2.0,6.0,2.0,3.0,2,3,0,0,3.2,3.6,2.1,1.68,2.07
Elgin,Stenhousemuir,H,2,0,8.0,6.0,4.0,1.0,6.0,4.0,2,3,0,0,3.1,3.6,2.14,1.57,2.26
Berwick,Cowdenbeath,H,1,0,10.0,6.0,4.0,3.0,3.0,7.0,3,2,0,0,2.04,3.6,3.29,1.76,1.97
Clyde,Elgin,A,2,4,7.0,10.0,3.0,6.0,2.0,2.0,4,3,0,0,2.39,3.39,2.79,1.52,2.37
Montrose,Edinburgh City,H,1,0,8.0,11.0,3.0,2.0,7.0,4.0,0,1,0,0,1.72,3.79,4.5,1.81,1.91
Peterhead,Annan Athletic,H,1,0,8.0,10.0,3.0,4.0,8.0,4.0,1,1,0,0,1.66,4.2,4.5,1.52,2.39
Stirling,Stenhousemuir,A,1,2,7.0,21.0,3.0,7.0,3.0,6.0,1,1,0,0,2.1,3.6,3.2,1.56,2.28
Annan Athletic,Berwick,D,0,0,11.0,3.0,5.0,2.0,3.0,2.0,2,3,0,0,1.72,4.0,4.2,1.55,2.34
Cowdenbeath,Montrose,A,1,3,4.0,6.0,2.0,5.0,2.0,5.0,1,1,0,0,3.6,3.6,1.95,1.83,1.89
Edinburgh City,Stirling,A,1,2,11.0,7.0,4.0,3.0,3.0,4.0,0,2,0,0,5.5,4.0,1.57,1.69,2.08
Elgin,Peterhead,A,0,2,4.0,9.0,0.0,5.0,2.0,8.0,2,4,0,0,3.29,3.79,2.0,1.53,2.38
Stenhousemuir,Clyde,D,1,1,14.0,8.0,9.0,5.0,13.0,5.0,1,1,0,0,1.9,3.6,3.79,1.49,2.47
Berwick,Edinburgh City,D,1,1,6.0,8.0,4.0,4.0,2.0,3.0,2,1,0,0,2.04,3.5,3.39,1.84,1.88
Clyde,Stirling,D,1,1,11.0,5.0,6.0,1.0,7.0,7.0,1,3,0,0,2.62,3.5,2.5,1.5,2.46
Cowdenbeath,Elgin,A,1,3,6.0,16.0,4.0,8.0,2.0,6.0,5,0,2,0,2.87,3.5,2.29,1.67,2.09
Montrose,Annan Athletic,D,1,1,11.0,9.0,7.0,2.0,6.0,2.0,0,3,0,1,2.25,3.6,2.89,1.63,2.16
Peterhead,Stenhousemuir,A,2,3,19.0,8.0,4.0,3.0,7.0,3.0,3,2,0,0,1.8,3.79,4.0,1.68,2.08
Cowdenbeath,Annan Athletic,D,1,1,10.0,11.0,4.0,5.0,4.0,5.0,1,2,0,0,3.6,3.75,1.95,1.83,1.91
Annan Athletic,Clyde,D,0,0,14.0,7.0,5.0,4.0,5.0,3.0,2,0,0,0,1.9,3.75,3.6,1.48,2.49
Edinburgh City,Cowdenbeath,D,0,0,6.0,5.0,2.0,3.0,4.0,4.0,2,1,0,0,2.1,3.5,3.29,1.95,1.79
Elgin,Berwick,H,5,1,20.0,11.0,11.0,3.0,8.0,4.0,1,2,0,0,1.72,4.0,4.2,1.59,2.24
Stenhousemuir,Montrose,A,0,1,9.0,12.0,2.0,2.0,2.0,3.0,1,1,0,0,1.8,3.75,4.2,1.79,1.94
Annan Athletic,Elgin,H,2,0,12.0,9.0,5.0,5.0,6.0,4.0,2,6,0,0,2.7,3.79,2.29,1.57,2.26
Berwick,Stirling,H,1,0,6.0,8.0,1.0,3.0,6.0,6.0,2,1,0,0,3.25,3.6,2.1,1.58,2.24
Clyde,Montrose,D,0,0,9.0,1.0,2.0,0.0,5.0,4.0,0,1,0,0,2.6,3.75,2.39,1.65,2.14
Peterhead,Edinburgh City,H,3,0,16.0,8.0,6.0,4.0,2.0,6.0,0,3,0,1,1.33,5.0,9.0,1.58,2.25
Stirling,Peterhead,A,0,1,8.0,20.0,1.0,5.0,3.0,12.0,1,2,1,0,4.0,4.09,1.75,1.5,2.46
Elgin,Edinburgh City,D,1,1,13.0,8.0,3.0,2.0,7.0,3.0,2,1,0,0,1.61,4.0,5.0,1.61,2.2
Montrose,Berwick,H,3,0,9.0,4.0,6.0,1.0,13.0,2.0,3,2,0,0,1.72,3.6,4.75,1.86,1.88
Stenhousemuir,Annan Athletic,A,1,3,10.0,11.0,7.0,5.0,4.0,2.0,0,1,0,0,2.29,3.6,2.87,1.72,2.03
Annan Athletic,Stirling,D,1,1,12.0,9.0,3.0,4.0,5.0,3.0,1,2,0,0,2.0,3.5,3.6,1.5,2.45
Edinburgh City,Stenhousemuir,A,1,2,12.0,10.0,6.0,5.0,7.0,11.0,2,2,0,0,3.6,3.5,2.0,1.88,1.86
Montrose,Elgin,H,3,0,10.0,4.0,4.0,2.0,5.0,6.0,2,1,0,0,2.0,3.5,3.6,1.72,2.03
Cowdenbeath,Stenhousemuir,D,1,1,9.0,13.0,5.0,7.0,6.0,8.0,2,1,0,0,4.75,3.75,1.7,2.13,1.67
Annan Athletic,Edinburgh City,H,2,1,12.0,8.0,3.0,8.0,6.0,5.0,1,1,0,0,1.61,4.0,5.0,1.57,2.28
Clyde,Berwick,D,0,0,11.0,8.0,2.0,1.0,8.0,4.0,2,2,0,0,1.75,3.79,4.33,1.65,2.12
Peterhead,Cowdenbeath,H,3,2,9.0,9.0,6.0,3.0,3.0,1.0,3,4,0,1,1.36,5.25,7.0,1.58,2.25
Stenhousemuir,Elgin,H,4,1,16.0,5.0,7.0,1.0,11.0,2.0,1,1,0,0,2.0,3.5,3.6,1.57,2.27
Stirling,Montrose,A,0,1,11.0,10.0,5.0,4.0,6.0,7.0,2,0,0,0,2.7,3.39,2.5,1.75,1.98
Montrose,Peterhead,A,2,6,7.0,13.0,2.0,8.0,2.0,11.0,1,1,0,0,3.0,3.25,2.35,1.81,1.93
Clyde,Annan Athletic,D,0,0,7.0,7.0,1.0,2.0,8.0,7.0,4,3,1,1,2.7,3.39,2.5,1.76,1.98
Edinburgh City,Berwick,H,3,0,8.0,10.0,6.0,4.0,0.0,8.0,2,1,0,0,2.6,3.6,2.5,2.03,1.73
