HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Xanthi,AEK,D,4.2,3.25,1.91,2.54,1.47,1.0,1.0,1,1,1,2,1.0,2.0,3.0,1.3333333333333333
Panathinaikos,Larisa,H,1.22,5.5,15.0,2.14,1.65,2.0,1.0,3,0,2,12,2.3333333333333335,0.3333333333333333,1.0,0.0
Kerkyra,Panetolikos,H,3.0,3.0,2.5,2.8,1.4,1.0,0.0,2,4,4,4,1.0,0.6666666666666666,1.3333333333333333,1.0
Lamia,Panathinaikos,D,5.0,3.1,1.85,2.73,1.41,1.0,1.0,1,2,1,4,1.0,1.0,2.5,0.3333333333333333
Levadeiakos,Giannina,D,2.5,3.1,2.89,2.61,1.45,1.0,1.0,4,2,2,4,2.0,1.6666666666666667,1.6666666666666667,1.0
Apollon,Xanthi,H,2.87,3.0,2.62,2.83,1.39,2.0,0.0,0,1,4,1,0.6666666666666666,0.25,1.0,2.0
Asteras Tripolis,Panionios,A,2.14,3.1,3.6,2.46,1.5,0.0,1.0,4,5,2,2,1.0,0.75,1.75,1.3333333333333333
Olympiakos,PAOK,H,1.85,3.5,4.2,2.23,1.6,1.0,0.0,5,3,1,1,1.3333333333333333,1.75,3.0,1.0
Platanias,Larisa,A,1.72,3.39,5.25,2.37,1.54,0.0,1.0,1,6,3,14,0.5,1.3333333333333333,1.0,0.0
AEK,Atromitos,A,1.36,4.33,9.5,2.08,1.69,0.0,1.0,9,2,3,2,3.0,1.25,2.0,1.6666666666666667
Giannina,Kerkyra,H,1.55,3.6,7.0,2.71,1.42,2.0,1.0,4,2,1,3,1.6666666666666667,1.0,1.4,0.6666666666666666
Larisa,Levadeiakos,H,2.37,2.89,3.25,2.68,1.43,1.0,0.0,2,2,2,1,1.0,0.6,1.8,1.6666666666666667
Panathinaikos,Olympiakos,H,3.5,3.2,2.14,2.37,1.54,1.0,0.0,5,1,8,7,2.5,0.5,1.75,1.75
Lamia,Platanias,H,2.2,3.1,3.5,2.8,1.4,2.0,0.0,2,3,3,4,1.0,1.0,0.4,1.3333333333333333
Panetolikos,Apollon,D,1.57,3.5,7.0,2.62,1.44,1.0,1.0,4,3,2,6,1.3333333333333333,0.8,1.25,0.25
Panionios,AEK,A,3.7,3.1,2.1,2.39,1.53,0.0,1.0,10,6,2,3,1.75,1.75,2.25,1.25
Xanthi,Atromitos,A,2.35,3.0,3.29,2.78,1.41,0.0,2.0,2,2,4,2,1.0,1.5,2.0,2.0
PAOK,Asteras Tripolis,H,1.3,4.75,12.0,1.92,1.83,2.0,0.0,9,1,2,3,3.0,0.75,0.75,0.75
Asteras Tripolis,Panathinaikos,H,3.0,2.87,2.6,2.68,1.43,1.0,0.0,4,6,2,5,0.75,0.6,2.6,0.5
