HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Alloa,Raith Rvs,D,2.6,3.3,2.63,1.82,1.9,1,1,0,0,0,0,0.0,0.0,0.0,0.0
Arbroath,Queens Park,H,2.15,3.4,3.3,1.92,1.81,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Forfar,Airdrie Utd,H,2.5,3.4,2.7,1.64,2.15,2,1,0,0,0,0,0.0,0.0,0.0,0.0
Stranraer,East Fife,H,2.15,3.4,3.25,1.88,1.85,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Airdrie Utd,Arbroath,D,2.5,3.5,2.63,1.7,2.05,1,1,0,0,0,0,0.0,0.0,3.0,0.0
Ayr,Forfar,H,1.62,4.0,5.0,1.58,2.25,3,0,0,0,0,0,0.0,3.0,3.0,0.0
East Fife,Alloa,H,2.75,3.4,2.45,1.84,1.89,1,0,0,0,0,0,0.0,0.0,1.0,0.0
Queens Park,Albion Rvs,A,2.0,3.5,3.6,2.01,1.74,2,5,0,0,0,0,0.0,0.0,0.0,0.0
Raith Rvs,Stranraer,H,1.57,4.0,5.5,1.8,1.93,3,0,0,0,0,0,0.0,1.0,3.0,0.0
Albion Rvs,Airdrie Utd,A,2.15,3.5,3.2,1.56,2.29,1,2,1,5,1,2,0.0,3.0,1.0,0.0
Alloa,Queens Park,H,1.7,4.0,4.5,1.65,2.13,1,0,1,1,0,2,1.0,0.0,0.0,0.0
Arbroath,East Fife,A,2.1,3.6,3.25,1.72,2.04,2,3,2,0,0,1,3.0,1.0,3.0,0.0
Raith Rvs,Forfar,H,1.53,4.2,5.75,1.54,2.36,3,1,3,0,0,3,3.0,1.0,3.0,0.0
Stranraer,Ayr,A,3.4,3.75,2.0,1.66,2.12,3,4,1,0,5,1,3.0,0.0,3.0,3.0
Airdrie Utd,Alloa,H,3.3,3.8,2.0,1.63,2.17,2,0,1,1,0,1,1.0,1.5,2.0,0.0
Ayr,Arbroath,A,1.6,4.0,5.25,1.57,2.28,1,2,3,0,1,1,3.0,3.0,1.5,1.0
East Fife,Raith Rvs,A,4.33,3.8,1.75,1.83,1.9,0,5,1,0,1,1,3.0,1.5,3.0,1.0
