HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Fulham,Brentford,D,1.75,4.2,4.75,1.5,2.53,1,1,10,2,4,2,2.6,2.6,1.6,1.8
Hull,Sheffield Weds,A,1.75,4.0,5.0,1.76,2.03,0,1,10,6,8,12,1.6,1.4,0.8,1.2
Middlesbrough,Bristol City,H,1.95,3.39,4.5,2.14,1.69,2,1,12,4,3,7,2.4,1.2,2.0,0.4
Norwich,Cardiff,A,3.1,3.39,2.45,2.02,1.77,0,2,6,5,6,4,1.6,0.6,2.4,1.6
Nott'm Forest,Ipswich,H,1.9,3.6,4.5,2.07,1.74,2,1,3,5,3,4,1.0,1.0,1.0,1.2
QPR,Preston,A,2.89,3.39,2.6,1.9,1.9,1,2,12,9,7,7,2.0,0.8,1.2,1.4
Reading,Sunderland,D,2.37,3.5,3.1,1.9,1.89,2,2,6,6,6,5,1.6,0.2,0.4,1.0
Sheffield United,Millwall,D,2.25,3.29,3.6,2.15,1.68,1,1,7,3,9,3,2.2,1.0,2.6,2.6
Wolves,Birmingham,H,1.36,5.0,11.0,1.98,1.8,2,0,12,5,5,13,2.2,1.8,1.4,0.6
Millwall,Fulham,A,3.29,3.6,2.25,1.75,2.04,0,3,8,2,8,3,2.6,2.2,2.2,2.6
Birmingham,Sheffield United,H,3.1,3.2,2.54,2.23,1.63,2,1,5,4,6,8,1.4,0.6,1.8,1.0
Bolton,Wolves,A,4.2,3.6,1.95,2.11,1.7,0,4,3,6,7,7,1.2,0.6,2.6,1.8
Brentford,QPR,H,1.64,4.33,5.25,1.51,2.48,2,1,9,5,6,10,1.6,2.0,2.0,0.8
Bristol City,Hull,D,2.29,3.7,3.1,1.79,1.99,5,5,9,3,11,8,2.0,0.4,1.4,1.4
Cardiff,Nott'm Forest,H,1.5,4.2,8.0,1.81,1.97,2,1,9,5,5,6,2.4,2.0,1.6,1.0
Derby,Middlesbrough,A,2.7,3.2,2.89,2.32,1.58,1,2,8,9,7,7,1.0,1.0,2.4,1.2
Ipswich,Aston Villa,A,5.5,3.89,1.7,1.96,1.82,0,4,3,6,8,6,1.0,0.6,2.4,1.4
Leeds,Barnsley,H,2.62,3.39,2.79,1.85,1.93,2,1,5,7,5,7,1.4,0.2,1.2,0.8
Preston,Norwich,D,1.72,3.89,5.25,1.83,1.95,0,0,6,6,8,12,1.2,1.8,1.4,0.6
Sheffield Weds,Reading,H,2.29,3.39,3.39,1.96,1.83,3,0,8,9,3,11,0.8,1.8,1.8,0.2
Sunderland,Burton,A,1.85,3.75,4.5,1.88,1.9,1,2,5,12,5,10,0.4,1.2,1.0,0.8
Derby,Cardiff,H,2.89,3.29,2.62,2.05,1.74,3,1,8,10,7,3,0.8,1.0,2.4,2.0
Nott'm Forest,Barnsley,H,2.7,3.5,2.7,1.79,2.0,3,0,5,4,4,9,1.6,0.4,1.2,0.2
Fulham,Sunderland,H,1.18,8.5,17.0,1.38,2.95,2,1,9,3,8,6,2.2,3.0,0.2,1.2
Aston Villa,Derby,D,1.9,3.6,4.5,1.98,1.8,1,1,10,4,3,6,2.4,1.4,1.2,1.0
Barnsley,Brentford,H,4.0,3.75,1.95,1.5,2.51,2,0,8,9,5,2,1.2,0.0,1.6,2.0
Burton,Bolton,H,2.5,3.39,3.0,2.04,1.75,2,0,4,9,5,9,1.0,0.8,0.6,0.6
Hull,Cardiff,A,3.25,3.75,2.2,1.68,2.14,0,2,9,6,7,6,1.4,1.6,2.4,1.4
Middlesbrough,Millwall,H,1.95,3.5,4.33,2.08,1.72,2,0,11,4,9,4,2.4,1.6,2.0,2.2
Norwich,Leeds,H,1.85,3.79,4.5,1.58,2.34,2,1,6,7,3,11,1.4,0.6,1.4,0.2
