HomeTeam,AwayTeam,FTR,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25
Lorca,Leonesa,H,2,0,11.0,11.0,7.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,2.45,3.1,3.0,2.37,1.55
Tenerife,Zaragoza,H,1,0,13.0,6.0,7.0,2.0,6.0,2.0,0.0,3.0,0.0,0.0,1.95,3.1,4.33,2.34,1.57
Alcorcon,Sp Gijon,D,0,0,11.0,4.0,4.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.5,3.0,3.0,2.34,1.55
Cordoba,Cadiz,A,1,2,16.0,6.0,6.0,3.0,12.0,6.0,0.0,1.0,0.0,0.0,2.2,3.0,3.6,2.27,1.59
Numancia,Huesca,H,1,0,14.0,9.0,6.0,2.0,8.0,0.0,1.0,7.0,0.0,1.0,2.15,3.0,3.75,2.27,1.59
Osasuna,Sevilla B,D,1,1,11.0,7.0,4.0,3.0,3.0,2.0,3.0,6.0,0.0,0.0,1.73,3.3,5.5,2.15,1.65
Valladolid,Barcelona B,A,1,2,19.0,9.0,7.0,4.0,11.0,2.0,4.0,1.0,0.0,0.0,1.85,3.4,4.33,1.93,1.83
Gimnastic,Almeria,A,0,1,17.0,14.0,6.0,7.0,6.0,5.0,2.0,1.0,0.0,0.0,2.25,3.0,3.5,2.31,1.57
Granada,Albacete,D,0,0,21.0,2.0,4.0,2.0,6.0,2.0,2.0,3.0,0.0,0.0,1.8,3.3,4.75,1.99,1.78
Oviedo,Vallecano,A,2,3,9.0,10.0,3.0,4.0,5.0,2.0,2.0,6.0,0.0,0.0,2.38,3.0,3.25,2.22,1.61
Lugo,Reus Deportiu,D,0,0,15.0,4.0,3.0,2.0,8.0,2.0,3.0,1.0,0.0,0.0,2.1,3.0,4.0,2.6,1.46
Albacete,Cordoba,A,0,3,11.0,12.0,0.0,5.0,4.0,3.0,3.0,2.0,0.0,0.0,2.5,3.2,2.8,2.32,1.58
Almeria,Oviedo,D,1,1,14.0,9.0,4.0,4.0,7.0,2.0,3.0,3.0,0.0,0.0,2.4,3.1,3.1,2.21,1.62
Leonesa,Osasuna,H,2,1,16.0,5.0,7.0,1.0,9.0,1.0,3.0,3.0,0.0,1.0,3.3,3.1,2.3,2.39,1.53
Sevilla B,Valladolid,A,1,2,13.0,15.0,6.0,7.0,2.0,6.0,1.0,5.0,0.0,0.0,2.6,3.2,2.8,2.02,1.75
Vallecano,Numancia,D,2,2,18.0,12.0,9.0,5.0,11.0,3.0,1.0,2.0,0.0,0.0,1.91,3.4,4.0,2.13,1.68
Cadiz,Alcorcon,D,0,0,14.0,9.0,5.0,3.0,7.0,4.0,3.0,4.0,0.0,0.0,2.0,3.2,4.0,2.71,1.42
Reus Deportiu,Gimnastic,D,1,1,12.0,11.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,0.0,2.1,3.0,4.0,2.72,1.42
Sp Gijon,Lugo,H,2,0,6.0,11.0,4.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,1.8,3.5,4.5,2.37,1.54
