HomeTeam,AwayTeam,FTR,AvgH,AvgD,AvgA,AvgMORE25,AvgCLESS25,FTHG,FTAG,HomeGoalsScoredHome,HomeGoalsConcededHome,AwayGoalsScoredAway,AwayGoalsConcededAway,APHH,APHA,APAH,APAA
Charleroi,St Truiden,D,1.95,3.4,3.5,1.83,2.02,0,0,5,7,5,9,0.6,1.4,1.2,1.0
Cercle Brugge,Oud-Heverlee Leuven,D,2.15,3.4,3.0,1.7,2.1,1,1,7,2,6,12,2.0,1.4,1.4,0.6
Seraing,Mechelen,H,3.4,3.5,1.95,1.72,2.07,1,0,0,0,8,7,0.0,0.0,1.8,1.4
Eupen,Anderlecht,D,3.25,3.75,2.0,1.83,2.02,1,1,7,9,10,3,1.2,1.4,1.4,2.6
St. Gilloise,Club Brugge,A,4.33,4.0,1.7,1.7,2.1,0,1,0,0,10,4,0.0,3.0,2.0,2.0
Waregem,Standard,A,2.9,3.5,2.15,1.65,2.2,1,2,9,14,9,9,1.8,0.8,1.6,0.8
Gent,Beerschot VA,D,1.36,4.33,7.5,1.6,2.3,2,2,10,4,6,7,2.4,1.0,0.8,1.8
Antwerp,Kortrijk,A,1.7,3.6,4.2,1.8,2.0,0,1,11,10,9,12,2.0,1.4,0.6,1.2
Club Brugge,Cercle Brugge,D,1.28,5.75,7.5,1.5,2.5,1,1,12,6,4,5,2.0,2.0,2.2,1.4
Beerschot VA,St. Gilloise,A,4.2,3.75,1.8,1.85,2.0,0,3,6,8,3,1,0.8,1.4,0.0,3.0
Mechelen,Eupen,A,1.7,3.75,4.2,1.65,2.2,1,3,10,7,8,7,1.8,0.8,1.2,1.4
St Truiden,Waregem,A,2.0,3.6,3.1,1.75,2.05,1,3,5,7,6,13,1.2,1.2,1.8,0.8
Kortrijk,Genk,A,3.2,3.6,2.0,1.7,2.1,1,2,6,11,9,10,0.6,1.8,1.4,1.4
Standard,Antwerp,A,2.25,3.5,2.9,1.85,1.95,2,5,8,6,8,8,1.6,1.4,1.4,1.4
Oud-Heverlee Leuven,Charleroi,D,2.45,3.4,2.55,1.75,2.05,1,1,9,7,8,8,1.4,0.6,0.8,1.4
Anderlecht,Seraing,H,1.3,5.25,7.0,1.6,2.3,3,0,8,8,0,2,1.4,2.2,3.0,0.0
Oostende,Gent,H,3.2,3.6,2.0,1.65,2.2,1,0,6,7,10,7,1.4,2.0,2.0,1.0
Charleroi,Antwerp,D,2.55,3.3,2.55,1.8,2.0,1,1,4,5,12,9,0.8,1.0,1.4,1.8
St. Gilloise,Kortrijk,H,1.6,4.0,5.25,1.85,2.0,2,0,0,1,9,9,0.0,3.0,0.6,1.8
Eupen,St Truiden,H,1.95,3.5,3.75,1.75,2.05,2,1,7,9,4,6,1.2,2.0,1.2,1.2
Seraing,Oostende,A,3.5,3.6,2.0,1.7,2.1,2,3,1,0,8,6,3.0,0.0,1.4,2.0
Genk,Oud-Heverlee Leuven,H,1.45,4.33,7.0,1.47,2.6,4,0,12,8,6,12,1.4,2.0,1.0,0.6
Beerschot VA,Standard,A,3.8,3.5,1.9,1.7,2.1,0,1,5,9,10,7,0.8,1.4,1.4,1.4
Gent,Mechelen,H,1.72,4.2,4.0,1.53,2.4,2,0,8,6,6,7,2.0,0.8,1.6,0.8
Cercle Brugge,Anderlecht,A,4.0,3.6,1.85,1.95,1.85,1,2,8,2,9,3,2.2,1.0,2.0,2.2
Waregem,Club Brugge,A,6.5,4.5,1.44,1.5,2.5,0,4,10,13,9,4,1.8,0.8,1.6,2.0
Standard,Oostende,H,1.8,3.5,4.2,1.5,2.5,1,0,9,10,10,7,1.4,2.0,1.4,2.4
Seraing,Cercle Brugge,H,2.8,3.5,2.37,1.85,1.95,2,1,3,3,3,5,1.5,0.0,2.0,1.0
Oud-Heverlee Leuven,Eupen,A,2.3,3.6,2.8,1.65,2.2,1,4,7,7,11,7,1.0,0.6,1.6,2.0
St Truiden,Kortrijk,A,2.75,3.0,2.75,2.0,1.8,0,2,5,8,7,11,1.2,1.0,0.6,1.2
Waregem,Charleroi,D,3.0,3.5,2.25,1.66,2.15,2,2,8,16,6,8,1.2,0.8,0.8,1.0
Club Brugge,Beerschot VA,H,1.18,7.0,13.0,1.44,2.7,3,2,10,7,7,9,1.6,2.4,0.6,1.4
Mechelen,St. Gilloise,H,3.6,3.5,2.0,1.66,2.15,3,1,11,10,6,1,1.6,0.8,1.5,3.0
Kortrijk,Mechelen,D,2.45,3.5,2.9,1.66,2.15,2,2,6,10,6,7,0.6,1.8,2.0,0.8
Charleroi,Beerschot VA,H,1.7,3.6,4.75,1.8,2.0,5,2,5,6,7,11,0.8,1.0,0.6,0.8
Cercle Brugge,St Truiden,A,1.95,3.5,3.6,1.95,1.9,0,1,9,4,5,8,2.0,1.0,1.2,1.0
Eupen,Seraing,A,1.66,3.75,5.0,1.65,2.2,1,2,8,9,0,5,1.6,2.0,2.0,0.0
St. Gilloise,Standard,H,1.7,3.8,4.75,1.66,2.15,4,0,2,1,9,4,1.5,2.0,2.0,2.0
Gent,Club Brugge,H,3.1,3.25,2.3,1.72,2.07,6,1,9,6,12,3,2.0,0.8,1.6,2.4
Antwerp,Oud-Heverlee Leuven,D,1.6,4.0,5.25,1.47,2.6,2,2,8,9,6,13,1.4,2.0,0.4,0.6
Genk,Anderlecht,H,2.15,3.4,3.25,1.7,2.1,1,0,15,6,11,4,2.0,2.0,2.0,2.6
